Kraj,Rok,AIC per capita (PPS)
Czechy,2005,11100.0
Czechy,2006,11400.0
Czechy,2007,12100.0
Czechy,2008,12700.0
Czechy,2009,12900.0
Czechy,2010,13400.0
Czechy,2011,13600.0
Czechy,2012,13700.0
Czechy,2013,14300.0
Czechy,2014,14800.0
Czechy,2015,15200.0
Czechy,2016,15800.0
Czechy,2017,17000.0
Czechy,2018,17700.0
Czechy,2019,18500.0
Czechy,2020,17900.0
Czechy,2021,18600.0
Czechy,2022,19400.0
Czechy,2023,20300.0
Czechy,2024,21500.0
Dania,2005,17100.0
Dania,2006,18300.0
Dania,2007,19400.0
Dania,2008,20100.0
Dania,2009,19900.0
Dania,2010,20600.0
Dania,2011,20900.0
Dania,2012,21100.0
Dania,2013,21500.0
Dania,2014,21500.0
Dania,2015,21900.0
Dania,2016,22000.0
Dania,2017,23000.0
Dania,2018,23800.0
Dania,2019,24000.0
Dania,2020,24000.0
Dania,2021,26300.0
Dania,2022,26100.0
Dania,2023,27300.0
Dania,2024,28200.0
Hiszpania,2005,15500.0
Hiszpania,2006,16400.0
Hiszpania,2007,16800.0
Hiszpania,2008,17000.0
Hiszpania,2009,16200.0
Hiszpania,2010,16100.0
Hiszpania,2011,16000.0
Hiszpania,2012,15800.0
Hiszpania,2013,15800.0
Hiszpania,2014,16300.0
Hiszpania,2015,17000.0
Hiszpania,2016,17400.0
Hiszpania,2017,18200.0
Hiszpania,2018,18500.0
Hiszpania,2019,18900.0
Hiszpania,2020,16700.0
Hiszpania,2021,18900.0
Hiszpania,2022,21000.0
Hiszpania,2023,22800.0
Hiszpania,2024,24300.0
Holandia,2005,19700.0
Holandia,2006,20800.0
Holandia,2007,21900.0
Holandia,2008,22500.0
Holandia,2009,21800.0
Holandia,2010,21300.0
Holandia,2011,21700.0
Holandia,2012,21700.0
Holandia,2013,21800.0
Holandia,2014,21800.0
Holandia,2015,22100.0
Holandia,2016,21900.0
Holandia,2017,22900.0
Holandia,2018,23800.0
Holandia,2019,24000.0
Holandia,2020,23300.0
Holandia,2021,25300.0
Holandia,2022,28500.0
Holandia,2023,30000.0
Holandia,2024,31400.0
Niemcy,2005,18400.0
Niemcy,2006,19000.0
Niemcy,2007,19700.0
Niemcy,2008,20200.0
Niemcy,2009,20300.0
Niemcy,2010,21000.0
Niemcy,2011,21900.0
Niemcy,2012,22300.0
Niemcy,2013,22500.0
Niemcy,2014,23000.0
Niemcy,2015,23300.0
Niemcy,2016,23900.0
Niemcy,2017,24600.0
Niemcy,2018,25400.0
Niemcy,2019,25900.0
Niemcy,2020,24800.0
Niemcy,2021,26200.0
Niemcy,2022,28700.0
Niemcy,2023,30000.0
Niemcy,2024,31000.0
Polska,2005,8300.0
Polska,2006,8900.0
Polska,2007,9900.0
Polska,2008,10800.0
Polska,2009,11100.0
Polska,2010,12200.0
Polska,2011,13000.0
Polska,2012,13600.0
Polska,2013,13600.0
Polska,2014,13800.0
Polska,2015,14400.0
Polska,2016,14600.0
Polska,2017,15400.0
Polska,2018,16100.0
Polska,2019,16800.0
Polska,2020,17200.0
Polska,2021,18600.0
Polska,2022,20200.0
Polska,2023,20800.0
Polska,2024,22200.0
