Rok,Kraj,Cena paliwa (EUR/litr)
2005,Polska,0.9965414285714287
2006,Polska,1.0193448979591837
2007,Polska,1.1142967346938777
2008,Polska,1.2459251020408164
2009,Polska,0.955768
2010,Polska,1.134560612244898
2011,Polska,1.2433642857142857
2012,Polska,1.3640155102040816
2013,Polska,1.3067583999999999
2014,Polska,1.2644342857142856
2015,Polska,1.1100208163265306
2016,Polska,0.995876
2017,Polska,1.0789016
2018,Polska,1.1586754000000001
2019,Polska,1.1627467346938776
2020,Polska,1.0003166000000001
2021,Polska,1.2004510204081633
2022,Polska,1.4206556862745099
2023,Polska,1.4347913461538462
2024,Polska,1.479232891792489
2025,Polska,1.4021514326262003
2026,Polska,1.3484547113353373
2005,Dania,1.2116324489795918
2006,Dania,1.2792567346938775
2007,Dania,1.3044885714285714
2008,Dania,1.387209387755102
2009,Dania,1.2810301999999998
2010,Dania,1.4409142857142856
2011,Dania,1.6102555102040816
2012,Dania,1.7002977551020406
2013,Dania,1.6770614000000001
2014,Dania,1.6463885714285715
2015,Dania,1.5021897959183672
2016,Dania,1.4134422
2017,Dania,1.4959422
2018,Dania,1.5922999999999998
2019,Dania,1.6078091836734694
2020,Dania,1.4491033999999998
2021,Dania,1.6712206122448978
2022,Dania,2.088567843137255
2023,Dania,1.9747351923076921
2024,Dania,1.9974811726665533
2025,Dania,1.9640022827933412
2026,Dania,1.8849989959167281
2005,Czechy,0.9535804081632653
2006,Czechy,1.0474738775510204
2007,Czechy,1.0639034693877552
2008,Czechy,1.2316148979591837
2009,Czechy,1.0322018
2010,Czechy,1.2546514285714285
2011,Czechy,1.4070151020408164
2012,Czechy,1.4628981632653062
2013,Czechy,1.3955702040816327
2014,Czechy,1.317671224489796
2015,Czechy,1.1541879591836735
2016,Czechy,1.058425
2017,Czechy,1.15092
2018,Czechy,1.2527136
2019,Czechy,1.2418142857142858
2020,Czechy,1.0678868
2021,Czechy,1.2819434693877552
2022,Czechy,1.6959911764705882
2023,Czechy,1.5741259615384615
2024,Czechy,1.487989602678209
2025,Czechy,1.4065505531798168
2026,Czechy,1.3663980161190328
2005,Niemcy,1.2216826530612246
2006,Niemcy,1.2833436734693877
2007,Niemcy,1.3354469387755101
2008,Niemcy,1.3933520408163265
2009,Niemcy,1.26202
2010,Niemcy,1.3910510204081634
2011,Niemcy,1.526938775510204
2012,Niemcy,1.6512653061224492
2013,Niemcy,1.6025200000000002
2014,Niemcy,1.5431632653061222
2015,Niemcy,1.3970408163265307
2016,Niemcy,1.30542
2017,Niemcy,1.37388
2018,Niemcy,1.4428
2019,Niemcy,1.416326530612245
2020,Niemcy,1.2885999999999997
2021,Niemcy,1.5828979591836734
2022,Niemcy,1.9233529411764705
2023,Niemcy,1.850076923076923
2024,Niemcy,1.7916603773584905
2025,Niemcy,1.736826923076923
2026,Niemcy,1.78
2005,Holandia,1.3532244897959183
2006,Holandia,1.4147346938775511
2007,Holandia,1.461208163265306
2008,Holandia,1.5427346938775508
2009,Holandia,1.35148
2010,Holandia,1.4929795918367348
2011,Holandia,1.6389526530612244
2012,Holandia,1.7604081632653061
2013,Holandia,1.7383000000000002
2014,Holandia,1.7019032653061223
2015,Holandia,1.5633469387755101
2016,Holandia,1.4769999999999999
2017,Holandia,1.55211
2018,Holandia,1.624512
2019,Holandia,1.6481224489795918
2020,Holandia,1.565
2021,Holandia,1.8178571428571428
2022,Holandia,2.073876862745098
2023,Holandia,1.9220192307692305
2024,Holandia,1.9701509433962265
2025,Holandia,1.9230509615384614
2026,Holandia,1.97912
2005,Hiszpania,0.962930612244898
2006,Hiszpania,1.0352216326530612
2007,Hiszpania,1.0497285714285716
2008,Hiszpania,1.1317216326530612
2009,Hiszpania,1.0062034
2010,Hiszpania,1.1621830612244899
2011,Hiszpania,1.3174802040816325
2012,Hiszpania,1.425644285714286
2013,Hiszpania,1.4311422916666665
2014,Hiszpania,1.3926463265306124
2015,Hiszpania,1.2317565306122449
2016,Hiszpania,1.149463
2017,Hiszpania,1.2168798
2018,Hiszpania,1.2926786000000001
2019,Hiszpania,1.2972826530612245
2020,Hiszpania,1.1779389999999998
2021,Hiszpania,1.3802679591836737
2022,Hiszpania,1.7809982352941176
2023,Hiszpania,1.6360392307692306
2024,Hiszpania,1.5777730188679246
2025,Hiszpania,1.4954922028846154
2026,Hiszpania,1.4379674
