Rok,Kurs PLN/EUR
2005,0.24850652117190747
2006,0.2567055676846781
2007,0.26445076048126953
2008,0.2871887126371662
2009,0.23116888046133371
2010,0.2503982712959686
2011,0.24384963043484925
2012,0.23924323071291503
2013,0.2383776285156304
2014,0.23925280181468953
2015,0.2392399312055359
2016,0.22924133452860557
2017,0.23486777766347014
2018,0.2348570870390643
2019,0.2326781142589457
2020,0.22521670549177714
2021,0.2191409573905902
2022,0.2134967265133819
2023,0.22028469518891433
2024,0.2324192256834127
2025,0.23586310336464766
2026,0.23709042628858645
