Kraj,Rok,Liczba Ładowarek
Polska,2020,3050
Polska,2021,10794
Polska,2022,11542
Polska,2023,20247
Polska,2024,32839
Polska,2025,52841
Niemcy,2020,150624
Niemcy,2021,204664
Niemcy,2022,291730
Niemcy,2023,405023
Niemcy,2024,581995
Niemcy,2025,749722
Dania,2020,11341
Dania,2021,19182
Dania,2022,38234
Dania,2023,72581
Dania,2024,122910
Dania,2025,187260
Czechy,2020,3002
Czechy,2021,5825
Czechy,2022,12158
Czechy,2023,17173
Czechy,2024,21928
Czechy,2025,28222
Holandia,2020,224164
Holandia,2021,313050
Holandia,2022,403405
Holandia,2023,558810
Holandia,2024,675302
Holandia,2025,788099
Hiszpania,2020,16690
Hiszpania,2021,28083
Hiszpania,2022,60115
Hiszpania,2023,108528
Hiszpania,2024,138911
Hiszpania,2025,179052
