Kraj,Rok,PKB per capita (PPS)
Czechy,2015,24603.6
Czechy,2016,25443.5
Czechy,2017,27214.4
Czechy,2018,28489.3
Czechy,2019,30004.9
Czechy,2020,29175.6
Czechy,2021,30499.9
Czechy,2022,32148.5
Czechy,2023,34664.5
Czechy,2024,36435.9
Dania,2015,35164.7
Dania,2016,35993.0
Dania,2017,37963.7
Dania,2018,38805.8
Dania,2019,39388.3
Dania,2020,40050.9
Dania,2021,44236.9
Dania,2022,48266.2
Dania,2023,47539.5
Dania,2024,50187.7
Hiszpania,2015,25351.0
Hiszpania,2016,26145.2
Hiszpania,2017,27390.5
Hiszpania,2018,27850.1
Hiszpania,2019,28660.1
Hiszpania,2020,25129.0
Hiszpania,2021,28282.8
Hiszpania,2022,31684.9
Hiszpania,2023,34514.7
Hiszpania,2024,36371.9
Holandia,2015,36639.1
Holandia,2016,36930.1
Holandia,2017,38491.1
Holandia,2018,39881.5
Holandia,2019,40543.6
Holandia,2020,39983.4
Holandia,2021,43738.4
Holandia,2022,48359.0
Holandia,2023,49966.9
Holandia,2024,53220.9
Niemcy,2015,35067.2
Niemcy,2016,36023.8
Niemcy,2017,37469.8
Niemcy,2018,38536.3
Niemcy,2019,38988.0
Niemcy,2020,37970.8
Niemcy,2021,40533.0
Niemcy,2022,43403.4
Niemcy,2023,45253.1
Niemcy,2024,46414.1
Polska,2015,19407.6
Polska,2016,19707.1
Polska,2017,20729.9
Polska,2018,21942.4
Polska,2019,23345.3
Polska,2020,23914.3
Polska,2021,26195.3
Polska,2022,28149.4
Polska,2023,29572.1
Polska,2024,31439.0
