Kraj,PKB per capita (PPS) (X2),Wskaźnik cen energii/paliwa (X3),Dotacje (X4),Ładowarki na EV (X5),Procent nowych rejestracji EV (Y)
Czechy,29175.6,0.43776710629414495,0.0,0.2747826086956522,2.58
Czechy,30499.9,0.3695839368891907,0.0,0.3923351518825352,3.1100000000000003
Czechy,32148.5,0.3158203762257958,0.0,0.5124552160168598,3.9
Czechy,34664.5,0.5179200702430627,1.0,0.4504511593746721,5.9
Czechy,36435.9,0.5774521915988657,2.0,0.4004967855055523,7.21
Dania,40050.9,0.5014726445923142,1.0,0.1861896865919128,16.41
Dania,44236.9,0.48836845512280475,1.0,0.13269873333656168,35.22
Dania,48266.2,0.6420667657056678,2.0,0.1756237827508911,38.52
Dania,47539.5,0.4795217987288628,2.0,0.22458660296556676,45.88
Dania,50187.7,0.48088420356665473,2.0,0.2603992322131498,55.81
Hiszpania,25129.0,0.4952111878701456,1.0,0.1925384153938443,4.93
Hiszpania,28282.8,0.4786958699087266,2.0,0.19047069994574065,7.83
Hiszpania,31684.9,0.4635361936340205,2.0,0.2771528155572563,9.75
Hiszpania,34514.7,0.3772962267421916,2.0,0.3283404178074939,12.33
Hiszpania,36371.9,0.39473358496576916,2.0,0.3328883989551631,11.54
Holandia,39983.4,0.22945686900958467,2.0,0.8235268185157972,24.88
Holandia,43738.4,0.19308447937131634,2.0,0.8168595852164202,29.48
Holandia,48359.0,0.10892642859276915,2.0,0.780192937736192,34.29
Holandia,49966.9,0.40551103106708697,2.0,0.7903949216479185,43.13
Holandia,53220.9,0.3046974659541459,1.0,0.7259126284559487,48.16
Niemcy,37970.8,0.6035453759340149,2.0,0.25584389554535664,13.4
Niemcy,40533.0,0.5220352750058018,2.0,0.17282862214385722,25.700000000000003
Niemcy,43403.4,0.44360033030553264,2.0,0.15537752269439634,31.07
Niemcy,45253.1,0.566038240168214,1.0,0.17379545136621213,24.39
Niemcy,46414.1,0.5664817227465977,0.0,0.22221471318401292,20.24
Polska,23914.3,0.383664246185372,0.0,0.19437894334331782,1.88
Polska,26195.3,0.3343743252961047,1.0,0.31967067464313215,3.64
Polska,28149.4,0.2776585112551491,2.0,0.20158585999720555,5.25
Polska,29572.1,0.35225629640791856,2.0,0.20587098873388376,6.34
Polska,31439.0,0.3969528514027163,2.0,0.23215156763635078,5.7
