Kraj,Rok,Dotacja,EV w flocie,Nowe rejestracje EV,Procent EV w flocie,Procent nowych rejestracji EV,AIC per capita (PPS),Cena energii (EUR/kWh),Cena paliwa (EUR/litr),PKB per capita (PPS),Liczba Ładowarek
Czechy,2005,,,,,,11100.0,,0.9535804081632652,,
Czechy,2006,,,,,,11400.0,,1.0474738775510204,,
Czechy,2007,,,,,,12100.0,0.1159999999999999,1.0639034693877552,,
Czechy,2008,,,0.0,,,12700.0,0.14145,1.2316148979591837,,
Czechy,2009,,,0.0,,0.0,12900.0,0.1493999999999999,1.0322018,,
Czechy,2010,,,4.0,,0.0,13400.0,0.15225,1.2546514285714283,,
Czechy,2011,,,56.0,,0.03,13600.0,0.1643,1.4070151020408164,,
Czechy,2012,,158.0,108.0,0.0,0.06,13700.0,0.1666,1.4628981632653062,,
Czechy,2013,,209.0,37.0,0.0,0.02,14300.0,0.1663,1.395570204081633,,
Czechy,2014,,471.0,71.0,0.01,0.04,14800.0,0.13835,1.317671224489796,,
Czechy,2015,,844.0,401.0,0.01,0.18,15200.0,0.13965,1.1541879591836737,24603.6,
Czechy,2016,,1234.0,339.0,0.02,0.13,15800.0,0.14205,1.058425,25443.5,
Czechy,2017,,1957.0,617.0,0.04,0.23,17000.0,0.1462999999999999,1.15092,27214.4,
Czechy,2018,,4104.0,974.0,0.0699999999999999,0.37,17700.0,0.1579499999999999,1.2527136,28489.3,
Czechy,2019,,6168.0,1260.0,0.1,0.5,18500.0,0.1759,1.2418142857142858,30004.9,
Czechy,2020,0.0,10925.0,5239.0,0.18,2.58,17900.0,0.1818,1.0678868,29175.6,3002.0
Czechy,2021,0.0,14847.0,6423.0,0.25,3.1100000000000003,18600.0,0.18425,1.2819434693877552,30499.9,5825.0
Czechy,2022,0.0,23725.0,7490.0,0.38,3.9,19400.0,0.2082999999999999,1.6959911764705882,32148.5,12158.0
Czechy,2023,1.0,38124.0,13062.0,0.61,5.9,20300.0,0.31705,1.5741259615384615,34664.5,17173.0
Czechy,2024,2.0,54752.0,16684.0,0.81,7.21,21500.0,0.33415,1.487989602678209,36435.9,21928.0
Czechy,2025,,83944.0,22359.0,,9.85,,0.3179,1.4065505531798168,,28222.0
Czechy,2026,,,,,,,,1.3663980161190328,,
Dania,2005,,,,,,17100.0,,1.2116324489795918,,
Dania,2006,,,,,,18300.0,,1.2792567346938777,,
Dania,2007,,,,,,19400.0,0.2401,1.3044885714285714,,
Dania,2008,,,0.0,,,20100.0,0.271,1.387209387755102,,
Dania,2009,,,31.0,,0.02,19900.0,0.2627,1.2810301999999998,,
Dania,2010,,,20.0,,0.01,20600.0,0.2689,1.4409142857142856,,
Dania,2011,,,415.0,,0.24,20900.0,0.2942,1.6102555102040816,,
Dania,2012,,970.0,504.0,0.04,0.3,21100.0,0.29845,1.7002977551020406,,
Dania,2013,,1478.0,504.0,0.06,0.28,21500.0,0.2968,1.6770614,,
Dania,2014,,3005.0,1590.0,0.13,0.84,21500.0,0.30385,1.6463885714285715,,
Dania,2015,,8439.0,4256.0,0.35,2.06,21900.0,0.3055,1.5021897959183672,35164.7,
Dania,2016,,9757.0,1376.0,0.3899999999999999,0.6200000000000001,22000.0,0.3086,1.4134422,35993.0,
Dania,2017,,10523.0,950.0,0.42,0.43,23000.0,0.30295,1.4959422,37963.7,
Dania,2018,,15172.0,4682.0,0.5900000000000001,2.15,23800.0,0.31245,1.5922999999999998,38805.8,
Dania,2019,,25189.0,9309.0,0.95,4.12,24000.0,0.2954,1.6078091836734694,39388.3,
Dania,2020,1.0,60911.0,32522.0,2.24,16.41,24000.0,0.2825999999999999,1.4491033999999998,40050.9,11341.0
