"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,250,,
"2009",31,,,250,,
"2010",51,,,250,,
"2011",466,,,250,,
"2012",937,33,,250,15,
"2013",1434,44,14,6,19,
"2014",2916,89,25,8,58,
"2015",7887,552,55,7,58,
"2016",8662,1095,74,4,93,
"2017",8764,1759,81,4,127,
"2018",10037,5135,84,4,130,
"2019",15504,9685,77,4,140,
"2020",31886,29025,113,4,135,
"2021",66610,77943,173,5,137,
"2022",112674,105030,147,5,125,
"2023",200110,123066,43,8,91,
"2024",344439,127567,17,9,90,
"2025",487140,128624,43,10,85,
