"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,2170000,,
"2009",,,,2326000,,
"2010",,,,2478000,,
"2011",35,,,2615000,,
"2012",54,12,,2757000,3000,
"2013",81,22,,2846868,5219,
"2014",153,104,,2904072,5309,
"2015",219,270,,2977264,5355,
"2016",348,425,,3082548,5400,
"2017",896,816,,3038596,5195,
"2018",3018,1592,,3281951,5339,
"2019",5196,2381,,3327624,5425,
"2020",9772,5919,,3388888,5278,
"2021",18132,15634,74,3414693,5126,
"2022",30841,26415,115,3451882,4970,
"2023",51211,47137,165,3508041,4970,
"2024",72589,68866,313,3548287,4824,
"2025",102710,100245,340,3548807,4807,
