Rok,PPS_X2,RelacjaKosztow_X3,Dotacje_X4,Infrastruktura_X5,Udzial_EV_Y_procent
2025,22500.0,0.39,2,0.25,6.31
2026,23080.0,0.383,2,0.27,7.28
2027,23660.0,0.375,2,0.29,8.25
2028,24240.0,0.368,2,0.31,9.22
2029,24820.0,0.361,2,0.33,10.19
2030,25400.0,0.353,2,0.35,11.16
2031,25980.0,0.346,1,0.37,10.02
2032,26560.0,0.339,1,0.39,10.99
2033,27140.0,0.331,1,0.41,11.96
2034,27720.0,0.324,1,0.43,12.93
2035,28300.0,0.317,0,0.45,11.8
2036,28880.0,0.309,0,0.47,12.77
2037,29460.0,0.302,0,0.49,13.74
2038,30040.0,0.295,0,0.51,14.71
2039,30620.0,0.287,0,0.53,15.68
2040,31200.0,0.28,0,0.55,16.65
