Kraj,Rok,Prognozowany AIC per capita (PPS)
Polska,2005,8395.714285714319
Polska,2006,9046.165413533803
Polska,2007,9696.61654135352
Polska,2008,10347.067669173004
Polska,2009,10997.518796992488
Polska,2010,11647.969924811972
Polska,2011,12298.42105263169
Polska,2012,12948.872180451173
Polska,2013,13599.323308270657
Polska,2014,14249.774436090374
Polska,2015,14900.225563909858
Polska,2016,15550.676691729343
Polska,2017,16201.127819548827
Polska,2018,16851.578947368544
Polska,2019,17502.030075188028
Polska,2020,18152.48120300751
Polska,2021,18802.932330826996
Polska,2022,19453.383458646713
Polska,2023,20103.834586466197
Polska,2024,20754.28571428568
Polska,2025,21404.736842105398
Polska,2026,22055.187969924882
Polska,2027,22705.639097744366
Polska,2028,23356.09022556385
Polska,2029,24006.541353383567
Polska,2030,24656.99248120305
Polska,2031,25307.443609022535
Polska,2032,25957.894736842252
Polska,2033,26608.345864661736
Polska,2034,27258.79699248122
Polska,2035,27909.248120300705
Polska,2036,28559.69924812042
Polska,2037,29210.150375939906
Polska,2038,29860.60150375939
Polska,2039,30511.052631578874
Polska,2040,31161.50375939859
