Rok,Cena_Paliwa_EUR,Cena_Pradu_EUR,Koszt_100km_EV_EUR,Koszt_100km_ICE_EUR,X3_Wskaznik_Relatywny
2025,1.402,0.278,5.0,9.81,0.5092
2026,1.46,0.275,4.95,10.22,0.4841
2027,1.518,0.272,4.9,10.62,0.4609
2028,1.575,0.269,4.85,11.03,0.4394
2029,1.633,0.266,4.79,11.43,0.4194
2030,1.691,0.264,4.74,11.84,0.4008
2031,1.749,0.256,4.62,12.24,0.3771
2032,1.806,0.249,4.49,12.65,0.355
2033,1.864,0.242,4.36,13.05,0.3343
2034,1.922,0.235,4.24,13.45,0.3148
2035,1.98,0.228,4.11,13.86,0.2964
2036,2.038,0.222,3.99,14.26,0.2797
2037,2.095,0.215,3.87,14.67,0.2639
2038,2.153,0.208,3.75,15.07,0.249
2039,2.211,0.202,3.63,15.48,0.2348
2040,2.269,0.195,3.52,15.88,0.2214
