"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,224066,,
"2009",,,,229554,,
"2010",,,,222137,,
"2011",,,,211445,,
"2012",2100,,,203851,5650,
"2013",4161,24512,,202322,6498,
"2014",6825,36937,,186366,9737,
"2015",9962,78163,,168234,10321,
"2016",13709,96156,33,143542,3148,
"2017",21842,97047,41,132989,3637,
"2018",44581,94668,54,119489,10241,
"2019",106232,91887,210,130637,10214,13
"2020",173797,98403,367,123694,9859,10
"2021",245091,138145,488,108602,8464,8
"2022",330113,186945,596,104946,7533,5
"2023",444669,262332,615,103267,2737,5
"2024",557742,372538,632,101997,2322,5
"2025",633884,482082,646,102217,2317,5
