Kraj,Rok,Prognozowana liczba samochodów osobowych
Polska,2005,12988944.178681117
Polska,2006,13753385.60238445
Polska,2007,14536021.340516843
Polska,2008,15334306.309085362
Polska,2009,16145466.756272411
Polska,2010,16966535.586359978
Polska,2011,17794393.715319134
Polska,2012,18625816.309044603
Polska,2013,19457522.490400217
Polska,2014,20286226.908022627
Polska,2015,21108691.454453655
Polska,2016,21921775.41266994
Polska,2017,22722482.399186008
Polska,2018,23508002.650968563
Polska,2019,24275749.45729637
Polska,2020,25023388.8456327
Polska,2021,25748861.96844259
Polska,2022,26450399.98087218
Polska,2023,27126531.524252053
Polska,2024,27776083.2181988
Polska,2025,28398173.80050294
Polska,2026,28992202.730591346
Polska,2027,29557834.186391678
Polska,2028,30094977.43816902
Polska,2029,30603764.582572594
Polska,2030,31084526.574659348
Polska,2031,31537768.415436655
Polska,2032,31964144.248198666
Polska,2033,32364432.998741973
Polska,2034,32739515.071329083
Polska,2035,33090350.49130259
Polska,2036,33417958.77206147
Polska,2037,33723400.68249256
Polska,2038,34007762.00315187
Polska,2039,34272139.28644797
Polska,2040,34517627.5777013
