Kod;Nazwa;Rodzaje pojazdów;Rok;Wartosc;Jednostka miary;Atrybut;
0000000;"POLSKA";"samochody osobowe";"1999";9282816;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2000";9991260;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2001";10503052;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2002";11028852;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2003";11243827;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2004";11167527;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2005";12339353;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2006";13384229;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2007";14588739;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2008";16079533;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2009";16494650;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2010";17239800;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2011";18125490;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2012";18744412;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2013";19389446;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2014";20003863;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2015";20723423;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2016";21675388;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2017";22503579;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2018";23429016;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2019";24360166;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2020";25113862;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2021";25869804;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2022";26457659;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2023";27227691;"szt.";"";
0000000;"POLSKA";"samochody osobowe";"2024";22951213;"szt.";"";
