"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,3.01,,
"2010",,,,2.87,,
"2011",,,,2.69,,
"2012",0.03,,,2.58,0.07,
"2013",0.05,0.31,,2.55,0.08,
"2014",0.09,0.46,,2.34,0.12,
"2015",0.12,0.96,,2.08,0.13,
"2016",0.17,1.17,0,1.75,0.04,
"2017",0.26,1.16,0,1.59,0.04,
"2018",0.53,1.12,0,1.42,0.12,
"2019",1.24,1.07,0,1.53,0.12,0
"2020",2.01,1.14,0,1.43,0.11,0
"2021",2.79,1.57,0.01,1.24,0.1,0
"2022",3.73,2.11,0.01,1.19,0.09,0
"2023",4.96,2.93,0.01,1.15,0.03,0
"2024",6.1,4.08,0.01,1.12,0.03,0
