panstwo,rok,liczba_bev_we_flocie,liczba_phev_we_flocie,procent_bev_we_flocie,procent_phev_we_flocie,liczba_bev_w_nowych_rejestracjach,liczba_phev_w_nowych_rejestracjach,procent_bev_w_nowych_rejestracjach,procent_phev_w_nowych_rejestracjach,liczba_ev_we_flocie,procent_ev_we_flocie,liczba_ev_w_nowych_rejestracjach,procent_ev_w_nowych_rejestracjach,pkb_per_capita_pps,cena_energii_eur_kwh,cena_benzyny_eur_litr,cena_diesla_eur_litr,koszt_100_km_ev,koszt_100_km_benzyna,koszt_100_km_diesel,relacja_kosztu_ev_do_benzyny,relacja_kosztu_ev_do_diesla,polityka_ue_etap,po_2035
Austria,2008,,,,,0.0,0.0,,,,,0.0,,31853.9,0.1775499999999999,1.2156938775510204,1.2449183673469388,3.1959,8.509857142857143,7.469510204081633,0.3755527203746915,0.4278593793544368,0,0
Austria,2009,328.0,,0.01,,25.0,0.0,0.01,0.0,,,25.0,0.01,30722.4,0.1909,1.04486,0.97386,3.4362,7.314019999999999,5.84316,0.4698100360677165,0.5880722075041587,0,0
Austria,2010,353.0,,0.01,,112.0,0.0,0.03,0.0,,,112.0,0.03,31605.6,0.19485,1.1874897959183672,1.1038979591836735,3.5073000000000003,8.31242857142857,6.623387755102041,0.4219344527128053,0.5295326394409422,0,0
Austria,2011,989.0,,0.02,,631.0,2.0,0.18,0.0,,,633.0,0.18,32928.8,0.19755,1.357408163265306,1.3289795918367346,3.5559000000000003,9.501857142857142,7.973877551020408,0.3742321050020297,0.4459436425061425,0,0
Austria,2012,1389.0,141.0,0.03,0.0,427.0,267.0,0.13,0.08,1530.0,0.03,694.0,0.21,34099.8,0.19995,1.4497755102040817,1.4100408163265306,3.5991000000000004,10.148428571428571,8.460244897959184,0.3546460394994299,0.4254132171597291,0,0
Austria,2013,2070.0,408.0,0.04,0.01,656.0,80.0,0.21,0.03,2478.0,0.05,736.0,0.24,34310.4,0.205,1.3929795918367347,1.3573265306122448,3.69,9.750857142857145,8.14395918367347,0.3784282700421941,0.4530965733960817,0,0
Austria,2014,3386.0,776.0,0.07,0.02,1344.0,209.0,0.44,0.07,4162.0,0.09,1553.0,0.51,34668.5,0.2004,1.3496938775510203,1.3011632653061225,3.6072,9.447857142857144,7.806979591836734,0.3818008618734406,0.4620480888373041,0,0
Austria,2015,5032.0,1512.0,0.11,0.03,1699.0,984.0,0.55,0.32,6544.0,0.14,2683.0,0.8700000000000001,35681.9,0.1996,1.2020816326530612,1.1219183673469388,3.5928,8.414571428571428,6.7315102040816335,0.4269736171946623,0.5337286717357296,0,0
Austria,2016,9073.0,2287.0,0.19,0.05,3806.0,1182.0,1.15,0.36,11360.0,0.24,4988.0,1.5099999999999998,36385.1,0.2022,1.11142,1.03024,3.6396,7.779940000000001,6.18144,0.4678185178806005,0.5887948439198633,0,0
Austria,2017,14618.0,3948.0,0.3,0.08,5398.0,1820.0,1.53,0.52,18566.0,0.38,7218.0,2.05,37012.2,0.1964,1.17744,1.10532,3.535200000000001,8.24208,6.631919999999999,0.4289208549298236,0.5330582998588645,0,0
Austria,2018,20831.0,5710.0,0.42,0.11,6774.0,2130.0,1.99,0.62,26541.0,0.53,8904.0,2.61,38419.4,0.1989,1.26434,1.22296,3.5802,8.85038,7.33776,0.4045250034461797,0.4879145679335382,0,0
Austria,2019,29523.0,8042.0,0.59,0.16,9242.0,2766.0,2.81,0.84,37565.0,0.75,12008.0,3.65,39263.8,0.2054,1.238204081632653,1.2057755102040817,3.6972,8.667428571428571,7.23465306122449,0.4265625,0.511040400792106,0,0
Austria,2020,44507.0,15237.0,0.87,0.3,15955.0,7762.0,6.41,3.12,59744.0,1.17,23717.0,9.53,37385.6,0.2139,1.08368,1.05006,3.8502,7.58576,6.30036,0.5075562633144207,0.611107936689332,1,0
