panstwo,rok,liczba_bev_we_flocie,liczba_phev_we_flocie,procent_bev_we_flocie,procent_phev_we_flocie,liczba_bev_w_nowych_rejestracjach,liczba_phev_w_nowych_rejestracjach,procent_bev_w_nowych_rejestracjach,procent_phev_w_nowych_rejestracjach,liczba_ev_we_flocie,procent_ev_we_flocie,liczba_ev_w_nowych_rejestracjach,procent_ev_w_nowych_rejestracjach,pkb_per_capita_pps,cena_energii_eur_kwh,cena_benzyny_eur_litr,cena_diesla_eur_litr,koszt_100_km_ev,koszt_100_km_benzyna,koszt_100_km_diesel,relacja_kosztu_ev_do_benzyny,relacja_kosztu_ev_do_diesla,polityka_ue_etap,po_2035,punkty_ladowania_razem,punkty_ac,punkty_dc,ludnosc,punkty_ladowania_na_100_tys_mieszkancow
Austria,2020,44507.0,15237.0,0.87,0.3,15955.0,7762.0,6.41,3.12,59744.0,1.17,23717.0,9.53,37385.6,0.2139,1.08368,1.05006,3.8502,7.58576,6.30036,0.5075562633144207,0.611107936689332,1,0,8104.0,6874.0,1230.0,8901064,91.04529525908364
Austria,2021,76539.0,29021.0,1.49,0.57,33379.0,14633.0,13.92,6.1,105560.0,2.06,48012.0,20.02,40185.6,0.22505,1.2833673469387754,1.2372244897959184,4.0509,8.983571428571429,7.42334693877551,0.4509231136201002,0.5456972486144102,1,0,11739.0,10452.0,1287.0,8932664,131.41656285291825
Austria,2022,110225.0,41580.0,2.14,0.81,33768.0,13271.0,15.7,6.17,151805.0,2.95,47039.0,21.87,44569.5,0.23095,1.7277058823529412,1.8203529411764705,4.1571,12.093941176470588,10.922117647058824,0.3437341011785191,0.3806130032960641,1,0,17584.0,15251.0,2333.0,8978929,195.83627401441757
Austria,2023,155490.0,56864.0,3.0,1.1,47614.0,16410.0,19.91,6.86,212354.0,4.1,64024.0,26.77,46391.9,0.27005,1.5954117647058823,1.6421568627450982,4.8609,11.167882352941175,9.852941176470589,0.4352570922919717,0.4933450746268656,1,0,18636.0,15229.0,3407.0,9104772,204.68387346767167
Austria,2024,200603.0,74768.0,3.83,1.43,44622.0,16928.0,17.58,6.67,275371.0,5.26,61550.0,24.25,47527.9,0.2584,1.5682452830188678,1.597245283018868,4.6512,10.977716981132074,9.583471698113208,0.4236946541793926,0.4853356013891842,1,0,30421.0,24213.0,6208.0,9158750,332.1523133615395
Austria,2025,257717.0,105381.0,4.88,1.99,60651.0,28820.0,21.28,10.11,363098.0,6.87,89471.0,31.39,49029.2,0.3088499999999999,1.5192115384615386,1.5362115384615385,5.5593,10.63448076923077,9.217269230769231,0.5227617709446593,0.6031395916527921,2,0,34706.0,25585.0,9121.0,9197213,377.3534439182826
Belgia,2020,23983.0,74988.0,0.41,1.27,14996.0,33006.0,3.48,7.65,98971.0,1.68,48002.0,11.13,35850.5,0.2747,1.2775436,1.2910382,4.9446,8.9428052,7.7462292,0.5529137546236611,0.6383234826049299,1,0,8003.0,7592.0,411.0,11522440,69.45577499210236
Belgia,2021,40851.0,123435.0,0.69,2.08,21975.0,48447.0,5.74,12.65,164286.0,2.77,70422.0,18.39,38699.2,0.2848,1.4857632653061223,1.496627142857143,5.1264,10.400342857142856,8.979762857142857,0.4929068272474534,0.570883672715506,1,0,12259.0,11745.0,514.0,11554767,106.09473994585956
Belgia,2022,71651.0,182996.0,1.2,3.08,37815.0,60541.0,10.32,16.53,254647.0,4.28,98356.0,26.85,42520.4,0.3963,1.797892745098039,1.9255929411764707,7.1334,12.585249215686272,11.553557647058824,0.5668064158085101,0.6174202109785587,1,0,23830.0,22914.0,916.0,11617623,205.1194121207066
Belgia,2023,138749.0,265455.0,2.32,4.43,93382.0,100429.0,19.59,21.07,404204.0,6.75,193811.0,40.66,45367.3,0.4064,1.723139807692308,1.7680661538461535,7.3152,12.061978653846156,10.608396923076922,0.6064676625561288,0.6895669584239364,1,0,44362.0,41903.0,2459.0,11742796,377.7805558403638
Belgia,2024,254240.0,326468.0,4.18,5.36,127242.0,66383.0,28.38,14.81,580708.0,9.54,193625.0,43.19,46587.9,0.33335,1.635917358490566,1.7190833962264152,6.000299999999999,11.451421509433962,10.314500377358492,0.5239786165461472,0.5817344302174193,1,0,76819.0,72193.0,4626.0,11817096,650.0666492004466
Belgia,2025,447937.0,390212.0,7.3,6.36,142826.0,39227.0,34.43,9.46,838149.0,13.66,182053.0,43.89,47676.3,0.3535,1.5533471153846152,1.6585934615384614,6.363,10.873429807692307,9.951560769230769,0.5851879409290484,0.639397190807874,2,0,98707.0,91586.0,7121.0,11883495,830.6226408981532
Bułgaria,2020,1933.0,953.0,0.07,0.03,277.0,279.0,1.24,1.25,2886.0,0.1,556.0,2.49,17473.0,0.09895,0.9311896,0.92197,1.7811,6.518327200000001,5.531820000000001,0.27324495155751,0.321973600008677,1,0,161.0,124.0,37.0,6569275,2.450803170821742
Bułgaria,2021,3369.0,1293.0,0.12,0.05,550.0,267.0,2.24,1.09,4662.0,0.1699999999999999,817.0,3.33,19748.1,0.10575,1.075895306122449,1.0649102040816327,1.9035,7.531267142857143,6.389461224489796,0.2527463126580672,0.2979124425552791,1,0,616.0,445.0,171.0,6532117,9.430327105286082
Bułgaria,2022,6293.0,1889.0,0.22,0.07,1021.0,456.0,3.56,1.59,8182.0,0.29,1477.0,5.15,22421.2,0.1119999999999999,1.463731176470588,1.5665123529411764,2.016,10.246118235294116,9.39907411764706,0.1967574405940017,0.2144892118910836,1,0,1036.0,766.0,270.0,6482484,15.981528068561373
Bułgaria,2023,11472.0,3232.0,0.41,0.12,1754.0,338.0,4.9,0.95,14704.0,0.53,2092.0,5.8500000000000005,24254.4,0.1164999999999999,1.337706470588235,1.368307450980392,2.097,9.363945294117649,8.209844705882352,0.223944067819076,0.2554250506708732,1,0,1624.0,1165.0,459.0,6447710,25.18723701903466
Bułgaria,2024,19020.0,6235.0,0.61,0.2,1665.0,1498.0,3.96,3.56,25255.0,0.81,3163.0,7.52,26324.3,0.1202,1.3106739682646873,1.3095958704540152,2.1636,9.17471777785281,7.85757522272409,0.2358219677582665,0.2753521205553176,1,0,3020.0,1892.0,1128.0,6445481,46.85453265629051
Bułgaria,2025,21545.0,6813.0,0.68,0.22,2428.0,582.0,4.9,1.18,28358.0,0.9,3010.0,6.08,28332.0,0.13275,1.2377101245211484,1.2376186805320666,2.3895,8.663970871648038,7.425712083192399,0.2757973261220666,0.3217873213006026,2,0,4030.0,2289.0,1741.0,6437360,62.60330321746802
Chorwacja,2020,1314.0,553.0,0.08,0.03,533.0,142.0,1.48,0.39,1867.0,0.11,675.0,1.87,20213.9,0.1304,1.2038003999999998,1.1589676,2.3472000000000004,8.426602799999998,6.9538056,0.2785464149324804,0.3375417915047841,1,0,417.0,262.0,155.0,3933511,10.601216063715087
Chorwacja,2021,2977.0,1181.0,0.17,0.07,1351.0,399.0,3.01,0.89,4158.0,0.24,1750.0,3.9,23588.3,0.1301999999999999,1.4069765306122448,1.36180306122449,2.3435999999999995,9.848835714285714,8.17081836734694,0.2379570609143792,0.2868256146000912,1,0,780.0,522.0,258.0,3893026,20.03582817068265
Chorwacja,2022,4801.0,2544.0,0.26,0.14,1305.0,770.0,3.04,1.79,7345.0,0.4,2075.0,4.83,26007.8,0.14165,1.6045325490196078,1.7625360784313726,2.5497,11.231727843137255,10.575216470588236,0.2270087056603586,0.241101447624379,1,0,1093.0,767.0,326.0,3862305,28.29916332345581
Chorwacja,2023,7058.0,4534.0,0.37,0.24,1617.0,1014.0,2.87,1.8,11592.0,0.61,2631.0,4.67,29847.3,0.148,1.4909940384615386,1.5820009615384616,2.664,10.43695826923077,9.492005769230769,0.2552467808416698,0.280657225118384,1,0,1074.0,675.0,399.0,3850894,27.889627707228502
