panstwo,rok,punkty_ladowania_na_100_tys_mieszkancow
Polska,2026,59.25446902501136
Polska,2027,84.10961270539983
Polska,2028,112.84283634040928
Polska,2029,142.36576851405758
Polska,2030,169.2449769570633
Polska,2031,191.15322902265842
Polska,2032,207.45484732132064
Polska,2033,218.78076525480748
Polska,2034,226.279897083355
Polska,2035,231.08823384305796
Polska,2036,234.10804957210428
Polska,2037,235.9799941544577
Polska,2038,237.13100702144055
Polska,2039,237.83520752239343
Polska,2040,238.2647270663956
