panstwo,rok,ludnosc
Austria,2020,8901064
Austria,2021,8932664
Austria,2022,8978929
Austria,2023,9104772
Austria,2024,9158750
Austria,2025,9197213
Belgia,2020,11522440
Belgia,2021,11554767
Belgia,2022,11617623
Belgia,2023,11742796
Belgia,2024,11817096
Belgia,2025,11883495
Bułgaria,2020,6569275
Bułgaria,2021,6532117
Bułgaria,2022,6482484
Bułgaria,2023,6447710
Bułgaria,2024,6445481
Bułgaria,2025,6437360
Chorwacja,2020,3933511
Chorwacja,2021,3893026
Chorwacja,2022,3862305
Chorwacja,2023,3850894
Chorwacja,2024,3861967
Chorwacja,2025,3874350
Cypr,2020,902429
Cypr,2021,914476
Cypr,2022,929764
Cypr,2023,949084
Cypr,2024,966365
Cypr,2025,982966
Czechy,2020,10693939
Czechy,2021,10494836
Czechy,2022,10516707
Czechy,2023,10827529
Czechy,2024,10900555
Czechy,2025,10909500
Dania,2020,5822763
Dania,2021,5840045
Dania,2022,5873420
Dania,2023,5932654
Dania,2024,5961249
Dania,2025,5992734
Estonia,2020,1328889
Estonia,2021,1330068
Estonia,2022,1331796
Estonia,2023,1365884
Estonia,2024,1374687
Estonia,2025,1369995
Finlandia,2020,5525292
Finlandia,2021,5533793
Finlandia,2022,5548241
Finlandia,2023,5563970
Finlandia,2024,5603851
Finlandia,2025,5635971
Francja,2020,67473651
Francja,2021,67728568
Francja,2022,68091703
Francja,2023,68436003
Francja,2024,68669303
Francja,2025,68882600
Grecja,2020,10612591
Grecja,2021,10555344
Grecja,2022,10461627
Grecja,2023,10401868
Grecja,2024,10375764
Grecja,2025,10372335
Hiszpania,2020,47318050
Hiszpania,2021,47400798
Hiszpania,2022,47486843
Hiszpania,2023,48085361
Hiszpania,2024,48619695
Hiszpania,2025,49128297
Holandia,2020,17407585
Holandia,2021,17475415
Holandia,2022,17590672
Holandia,2023,17811291
Holandia,2024,17942942
Holandia,2025,18044027
Irlandia,2020,5012600
Irlandia,2021,5066893
Irlandia,2022,5154277
Irlandia,2023,5271395
Irlandia,2024,5351681
Irlandia,2025,5440278
Islandia,2020,364134
Islandia,2021,368792
Islandia,2022,376248
Islandia,2023,387758
Islandia,2024,383567
Islandia,2025,389444
Liechtenstein,2020,38747
Liechtenstein,2021,39055
Liechtenstein,2022,39308
Liechtenstein,2023,39677
Liechtenstein,2024,40015
Liechtenstein,2025,40886
Litwa,2020,2809977
Litwa,2021,2810761
Litwa,2022,2805998
Litwa,2023,2857279
Litwa,2024,2885891
Litwa,2025,2890664
Luksemburg,2020,626108
Luksemburg,2021,634730
Luksemburg,2022,645397
Luksemburg,2023,660809
Luksemburg,2024,672050
Luksemburg,2025,681973
Malta,2020,514855
Malta,2021,516125
Malta,2022,520174
Malta,2023,542051
Malta,2024,563443
Malta,2025,574250
Niemcy,2020,83166711
Niemcy,2021,83155031
Niemcy,2022,83237124
Niemcy,2023,83118501
Niemcy,2024,83456045
Niemcy,2025,83577140
Norwegia,2020,5367580
Norwegia,2021,5391369
Norwegia,2022,5425270
Norwegia,2023,5488984
Norwegia,2024,5550203
Norwegia,2025,5594340
Polska,2020,37958138
Polska,2021,37073357
Polska,2022,36889761
Polska,2023,36753736
Polska,2024,36620970
Polska,2025,36497495
Portugalia,2020,10375395
Portugalia,2021,10394297
Portugalia,2022,10599117
Portugalia,2023,10929704
Portugalia,2024,11204347
Portugalia,2025,11387222
Rumunia,2020,19328838
Rumunia,2021,19201662
Rumunia,2022,19043098
Rumunia,2023,19055228
Rumunia,2024,19067576
Rumunia,2025,19043151
Szwajcaria,2020,8606033
Szwajcaria,2021,8670300
Szwajcaria,2022,8738791
Szwajcaria,2023,8815385
Szwajcaria,2024,8962258
Szwajcaria,2025,9051029
Szwecja,2020,10327589
Szwecja,2021,10379295
Szwecja,2022,10452326
Szwecja,2023,10521556
Szwecja,2024,10551707
Szwecja,2025,10587710
Słowacja,2020,5457873
Słowacja,2021,5459781
Słowacja,2022,5434712
Słowacja,2023,5428792
Słowacja,2024,5424687
Słowacja,2025,5419451
Słowenia,2020,2095861
Słowenia,2021,2108977
Słowenia,2022,2107180
Słowenia,2023,2116972
Słowenia,2024,2123949
Słowenia,2025,2130850
Turcja,2020,83154997
Turcja,2021,83614362
Turcja,2022,84680273
Turcja,2023,85279553
Turcja,2024,85372377
Turcja,2025,85664944
Wielka_Brytania,2020,66683687
Wielka_Brytania,2021,66858928
Wielka_Brytania,2022,67307061
Wielka_Brytania,2023,68081159
Wielka_Brytania,2024,68903810
Wielka_Brytania,2025,69384219
Węgry,2020,9689376
Węgry,2021,9651461
Węgry,2022,9610403
Węgry,2023,9599744
Węgry,2024,9584627
Węgry,2025,9539502
Włochy,2020,59641488
Włochy,2021,59236213
Włochy,2022,59030133
Włochy,2023,58997201
Włochy,2024,58971230
Włochy,2025,58943464
Łotwa,2020,1907675
Łotwa,2021,1893223
Łotwa,2022,1875757
Łotwa,2023,1895239
Łotwa,2024,1878575
Łotwa,2025,1860565
