panstwo,rok,punkty_ladowania_razem,punkty_ac,punkty_dc,ludnosc,punkty_ladowania_na_100_tys_mieszkancow
Austria,2020,8104.0,6874.0,1230.0,8901064,91.04529525908363
Austria,2021,11739.0,10452.0,1287.0,8932664,131.41656285291825
Austria,2022,17584.0,15251.0,2333.0,8978929,195.83627401441754
Austria,2023,18636.0,15229.0,3407.0,9104772,204.68387346767167
Austria,2024,30421.0,24213.0,6208.0,9158750,332.1523133615395
Austria,2025,34706.0,25585.0,9121.0,9197213,377.3534439182826
Belgia,2020,8003.0,7592.0,411.0,11522440,69.45577499210236
Belgia,2021,12259.0,11745.0,514.0,11554767,106.09473994585957
Belgia,2022,23830.0,22914.0,916.0,11617623,205.1194121207066
Belgia,2023,44362.0,41903.0,2459.0,11742796,377.7805558403638
Belgia,2024,76819.0,72193.0,4626.0,11817096,650.0666492004466
Belgia,2025,98707.0,91586.0,7121.0,11883495,830.6226408981532
Bułgaria,2020,161.0,124.0,37.0,6569275,2.450803170821742
Bułgaria,2021,616.0,445.0,171.0,6532117,9.430327105286082
Bułgaria,2022,1036.0,766.0,270.0,6482484,15.981528068561373
Bułgaria,2023,1624.0,1165.0,459.0,6447710,25.18723701903466
Bułgaria,2024,3020.0,1892.0,1128.0,6445481,46.85453265629051
Bułgaria,2025,4030.0,2289.0,1741.0,6437360,62.603303217468024
Chorwacja,2020,417.0,262.0,155.0,3933511,10.601216063715087
Chorwacja,2021,780.0,522.0,258.0,3893026,20.035828170682652
Chorwacja,2022,1093.0,767.0,326.0,3862305,28.29916332345581
Chorwacja,2023,1074.0,675.0,399.0,3850894,27.889627707228502
Chorwacja,2024,1839.0,1262.0,577.0,3861967,47.61822149179421
Chorwacja,2025,2305.0,1378.0,927.0,3874350,59.493850581387846
Cypr,2020,47.0,46.0,1.0,902429,5.208165960978647
Cypr,2021,,60.0,,914476,
Cypr,2022,,67.0,,929764,
Cypr,2023,329.0,306.0,23.0,949084,34.6650033084532
Cypr,2024,512.0,475.0,37.0,966365,52.98205129531802
Cypr,2025,761.0,715.0,46.0,982966,77.41875100461257
Czechy,2020,1031.0,631.0,400.0,10693939,9.64097513554173
Czechy,2021,2001.0,1384.0,618.0,10494836,19.066519953241766
Czechy,2022,3817.0,2756.0,1061.0,10516707,36.29463100949755
Czechy,2023,4664.0,3389.0,1275.0,10827529,43.07538682186859
Czechy,2024,6359.0,4466.0,1893.0,10900555,58.336479197618836
Czechy,2025,7574.0,5064.0,2510.0,10909500,69.42572986846326
Dania,2020,3547.0,3035.0,512.0,5822763,60.9160977357313
Dania,2021,5843.0,5386.0,457.0,5840045,100.05059892517951
Dania,2022,10818.0,9899.0,919.0,5873420,184.1857044107181
Dania,2023,23071.0,20896.0,2175.0,5932654,388.88160341054777
Dania,2024,35869.0,30432.0,5437.0,5961249,601.7027639677524
Dania,2025,50338.0,41845.0,8493.0,5992734,839.9838871540102
Estonia,2020,56.0,33.0,23.0,1328889,4.214046470397452
Estonia,2021,74.0,49.0,26.0,1330068,5.563625318404774
Estonia,2022,147.0,92.0,56.0,1331796,11.037726498652948
Estonia,2023,594.0,339.0,255.0,1365884,43.488319652327725
Estonia,2024,1051.0,575.0,476.0,1374687,76.45376729393672
Estonia,2025,1976.0,915.0,1061.0,1369995,144.2341030441717
Finlandia,2020,3642.0,3365.0,277.0,5525292,65.91506838009647
Finlandia,2021,4597.0,4070.0,527.0,5533793,83.0714123206271
Finlandia,2022,5525.0,4511.0,1014.0,5548241,99.58111048168239
Finlandia,2023,11247.0,8508.0,2739.0,5563970,202.1398389998508
Finlandia,2024,16726.0,12363.0,4363.0,5603851,298.47331772382955
Finlandia,2025,19806.0,14452.0,5354.0,5635971,351.4212546515942
Francja,2020,,,,67473651,
Francja,2021,54653.0,51022.0,3631.0,67728568,80.69416143568841
Francja,2022,83317.0,75097.0,8220.0,68091703,122.35998855837104
Francja,2023,119255.0,100767.0,18488.0,68436003,174.25769298654103
Francja,2024,155931.0,125955.0,29976.0,68669303,227.07526243567668
Francja,2025,186717.0,146842.0,39875.0,68882600,271.06555211330584
Grecja,2020,291.0,286.0,6.0,10612591,2.742025957657277
Grecja,2021,610.0,597.0,13.0,10555344,5.779063193013889
Grecja,2022,985.0,947.0,39.0,10461627,9.415361492050902
Grecja,2023,3166.0,2950.0,216.0,10401868,30.43684076744677
Grecja,2024,7049.0,6167.0,882.0,10375764,67.9371658800258
Grecja,2025,8757.0,7195.0,1562.0,10372335,84.42650570001837
Hiszpania,2020,5741.0,4601.0,1140.0,47318050,12.132790763778305
Hiszpania,2021,8591.0,6967.0,1624.0,47400798,18.12416744545102
Hiszpania,2022,22090.0,18347.0,3743.0,47486843,46.51814819528011
Hiszpania,2023,30372.0,24930.0,5442.0,48085361,63.16267439481218
Hiszpania,2024,45213.0,35982.0,9231.0,48619695,92.9931789987576
Hiszpania,2025,46902.0,34958.0,11944.0,49128297,95.46840184588527
