panstwo,rok,pkb_per_capita_pps
Austria,2008,31853.9
Austria,2009,30722.4
Austria,2010,31605.6
Austria,2011,32928.8
Austria,2012,34099.8
Austria,2013,34310.4
Austria,2014,34668.5
Austria,2015,35681.9
Austria,2016,36385.1
Austria,2017,37012.2
Austria,2018,38419.4
Austria,2019,39263.8
Austria,2020,37385.6
Austria,2021,40185.6
Austria,2022,44569.5
Austria,2023,46391.9
Austria,2024,47527.9
Austria,2025,49029.2
Belgia,2008,29399.0
Belgia,2009,28616.0
Belgia,2010,30161.8
Belgia,2011,30735.5
Belgia,2012,31372.6
Belgia,2013,31661.5
Belgia,2014,32359.4
Belgia,2015,33127.0
Belgia,2016,33631.0
Belgia,2017,34519.6
Belgia,2018,35579.3
Belgia,2019,36884.8
Belgia,2020,35850.5
Belgia,2021,38699.2
Belgia,2022,42520.4
Belgia,2023,45367.3
Belgia,2024,46587.9
Belgia,2025,47676.3
Bułgaria,2008,10942.7
Bułgaria,2009,10512.3
Bułgaria,2010,11113.0
Bułgaria,2011,11734.9
Bułgaria,2012,12125.1
Bułgaria,2013,12194.1
Bułgaria,2014,12894.9
Bułgaria,2015,13586.9
Bułgaria,2016,14411.0
Bułgaria,2017,15329.3
Bułgaria,2018,16273.7
Bułgaria,2019,17407.9
Bułgaria,2020,17473.0
Bułgaria,2021,19748.1
Bułgaria,2022,22421.2
Bułgaria,2023,24254.4
Bułgaria,2024,26324.3
Bułgaria,2025,28332.0
Chorwacja,2008,16306.4
Chorwacja,2009,15365.0
Chorwacja,2010,15243.6
Chorwacja,2011,15782.9
Chorwacja,2012,15972.1
Chorwacja,2013,16209.1
Chorwacja,2014,16301.6
Chorwacja,2015,17084.7
Chorwacja,2016,17960.8
Chorwacja,2017,19169.3
Chorwacja,2018,20216.2
Chorwacja,2019,21518.8
Chorwacja,2020,20213.9
Chorwacja,2021,23588.3
Chorwacja,2022,26007.8
Chorwacja,2023,29847.3
Chorwacja,2024,31053.1
Chorwacja,2025,32370.2
Cypr,2008,27029.6
Cypr,2009,25593.1
Cypr,2010,25363.5
Cypr,2011,24894.2
Cypr,2012,23616.7
Cypr,2013,21994.0
Cypr,2014,21426.7
Cypr,2015,22563.5
Cypr,2016,24483.3
Cypr,2017,25941.8
Cypr,2018,27303.3
Cypr,2019,28873.4
Cypr,2020,27194.2
Cypr,2021,30382.9
Cypr,2022,34492.5
Cypr,2023,37400.0
Cypr,2024,39456.4
Cypr,2025,40957.0
Czechy,2008,21587.1
Czechy,2009,20826.7
Czechy,2010,21227.7
Czechy,2011,21786.3
Czechy,2012,21767.3
Czechy,2013,22410.7
Czechy,2014,23517.1
Czechy,2015,24603.7
Czechy,2016,25443.3
Czechy,2017,27214.7
Czechy,2018,28492.8
Czechy,2019,30008.3
Czechy,2020,29178.2
Czechy,2021,30502.4
Czechy,2022,32419.7
Czechy,2023,34973.9
Czechy,2024,36255.5
Czechy,2025,38557.0
Dania,2008,32185.8
Dania,2009,30595.6
Dania,2010,32584.5
Dania,2011,33121.4
Dania,2012,33054.7
Dania,2013,33840.5
Dania,2014,34318.7
Dania,2015,35165.0
Dania,2016,35992.7
Dania,2017,37964.1
Dania,2018,38810.6
Dania,2019,39393.0
Dania,2020,40054.4
Dania,2021,44240.3
Dania,2022,48465.5
Dania,2023,48240.3
Dania,2024,51785.4
Dania,2025,53940.8
Estonia,2008,17679.1
Estonia,2009,15453.9
Estonia,2010,16341.2
Estonia,2011,18339.7
Estonia,2012,19342.5
Estonia,2013,20055.2
Estonia,2014,21055.0
Estonia,2015,21398.6
Estonia,2016,22190.6
Estonia,2017,23734.0
Estonia,2018,25227.3
Estonia,2019,26438.1
Estonia,2020,25994.6
Estonia,2021,28242.8
Estonia,2022,30146.6
Estonia,2023,30454.9
Estonia,2024,31583.4
Estonia,2025,33279.1
Finlandia,2008,31104.6
Finlandia,2009,28678.4
Finlandia,2010,29484.8
