panstwo,rok,liczba_bev_we_flocie,liczba_phev_we_flocie,procent_bev_we_flocie,procent_phev_we_flocie,liczba_bev_w_nowych_rejestracjach,liczba_phev_w_nowych_rejestracjach,procent_bev_w_nowych_rejestracjach,procent_phev_w_nowych_rejestracjach,liczba_ev_we_flocie,procent_ev_we_flocie,liczba_ev_w_nowych_rejestracjach,procent_ev_w_nowych_rejestracjach,szacowana_calkowita_flota_samochodow_osobowych,szacowana_liczba_wszystkich_nowych_rejestracji
Austria,2008,,,,,0.0,0.0,,,,,0.0,,,
Austria,2009,328.0,,0.01,,25.0,0.0,0.01,0.0,,,25.0,0.01,,250000.0
Austria,2010,353.0,,0.01,,112.0,0.0,0.03,0.0,,,112.0,0.03,,373333.3333333334
Austria,2011,989.0,,0.02,,631.0,2.0,0.18,0.0,,,633.0,0.18,,351666.6666666667
Austria,2012,1389.0,141.0,0.03,0.0,427.0,267.0,0.13,0.08,1530.0,0.03,694.0,0.21000000000000002,5100000.0,330476.1904761904
Austria,2013,2070.0,408.0,0.04,0.01,656.0,80.0,0.21,0.03,2478.0,0.05,736.0,0.24,4956000.0,306666.6666666667
Austria,2014,3386.0,776.0,0.07,0.02,1344.0,209.0,0.44,0.07,4162.0,0.09000000000000001,1553.0,0.51,4624444.444444444,304509.8039215686
Austria,2015,5032.0,1512.0,0.11,0.03,1699.0,984.0,0.55,0.32,6544.0,0.14,2683.0,0.8700000000000001,4674285.714285714,308390.8045977011
Austria,2016,9073.0,2287.0,0.19,0.05,3806.0,1182.0,1.15,0.36,11360.0,0.24,4988.0,1.5099999999999998,4733333.333333334,330331.1258278146
Austria,2017,14618.0,3948.0,0.3,0.08,5398.0,1820.0,1.53,0.52,18566.0,0.38,7218.0,2.05,4885789.47368421,352097.5609756098
Austria,2018,20831.0,5710.0,0.42,0.11,6774.0,2130.0,1.99,0.62,26541.0,0.53,8904.0,2.61,5007735.849056603,341149.42528735637
Austria,2019,29523.0,8042.0,0.59,0.16,9242.0,2766.0,2.81,0.84,37565.0,0.75,12008.0,3.65,5008666.666666667,328986.30136986304
Austria,2020,44507.0,15237.0,0.87,0.3,15955.0,7762.0,6.41,3.12,59744.0,1.17,23717.0,9.530000000000001,5106324.786324787,248866.7366211962
Austria,2021,76539.0,29021.0,1.49,0.57,33379.0,14633.0,13.92,6.1,105560.0,2.06,48012.0,20.02,5124271.844660194,239820.17982017982
Austria,2022,110225.0,41580.0,2.14,0.81,33768.0,13271.0,15.7,6.17,151805.0,2.95,47039.0,21.869999999999997,5145932.20338983,215084.59076360313
Austria,2023,155490.0,56864.0,3.0,1.1,47614.0,16410.0,19.91,6.86,212354.0,4.1,64024.0,26.77,5179365.853658537,239163.2424355622
Austria,2024,200603.0,74768.0,3.83,1.43,44622.0,16928.0,17.58,6.67,275371.0,5.26,61550.0,24.25,5235190.114068441,253814.43298969071
Austria,2025,257717.0,105381.0,4.88,1.99,60651.0,28820.0,21.28,10.11,363098.0,6.87,89471.0,31.39,5285269.286754003,285030.2644154189
Belgia,2008,10.0,,,,0.0,0.0,,,,,0.0,,,
Belgia,2009,10.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Belgia,2010,36.0,,0.0,,34.0,0.0,0.01,0.0,,,34.0,0.01,,340000.0
Belgia,2011,162.0,16.0,0.0,0.0,288.0,16.0,0.05,0.0,178.0,0.0,304.0,0.05,,608000.0
Belgia,2012,647.0,338.0,0.01,0.01,585.0,326.0,0.12,0.07,985.0,0.02,911.0,0.19,4925000.0,479473.6842105263
Belgia,2013,919.0,359.0,0.02,0.01,494.0,60.0,0.1,0.01,1278.0,0.03,554.0,0.11,4260000.0,503636.3636363636
Belgia,2014,1792.0,1159.0,0.03,0.02,1339.0,652.0,0.27,0.13,2951.0,0.05,1991.0,0.4,5902000.0,497750.0
Belgia,2015,2871.0,4098.0,0.05,0.07,1613.0,2170.0,0.32,0.43,6969.0,0.12000000000000001,3783.0,0.75,5807499.999999999,504400.0
Belgia,2016,4368.0,11422.0,0.08,0.2,2216.0,7124.0,0.41,1.3,15790.0,0.28,9340.0,1.71,5639285.714285714,546198.8304093567
Belgia,2017,8552.0,22273.0,0.15,0.38,2945.0,11651.0,0.53,2.1,30825.0,0.53,14596.0,2.63,5816037.735849056,554980.9885931559
Belgia,2018,9244.0,33005.0,0.16,0.56,4041.0,9440.0,0.72,1.69,42249.0,0.7200000000000001,13481.0,2.41,5867916.666666666,559377.5933609959
Belgia,2019,15338.0,41987.0,0.26,0.71,8886.0,8830.0,1.59,1.58,57325.0,0.97,17716.0,3.17,5909793.81443299,558864.3533123028
Belgia,2020,23983.0,74988.0,0.41,1.27,14996.0,33006.0,3.48,7.65,98971.0,1.68,48002.0,11.13,5891130.952380952,431284.81581311766
Belgia,2021,40851.0,123435.0,0.69,2.08,21975.0,48447.0,5.74,12.65,164286.0,2.77,70422.0,18.39,5930902.527075812,382936.3784665579
Belgia,2022,71651.0,182996.0,1.2,3.08,37815.0,60541.0,10.32,16.53,254647.0,4.28,98356.0,26.85,5949696.261682242,366316.573556797
Belgia,2023,138749.0,265455.0,2.32,4.43,93382.0,100429.0,19.59,21.07,404204.0,6.75,193811.0,40.66,5988207.407407407,476662.5676340384
Belgia,2024,254240.0,326468.0,4.18,5.36,127242.0,66383.0,28.38,14.81,580708.0,9.54,193625.0,43.19,6087085.953878407,448309.79393378104
Belgia,2025,447937.0,390212.0,7.3,6.36,142826.0,39227.0,34.43,9.46,838149.0,13.66,182053.0,43.89,6135790.6295754025,414793.8026885395
Bułgaria,2008,,,,,0.0,0.0,,,,,0.0,,,
Bułgaria,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Bułgaria,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Bułgaria,2011,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Bułgaria,2012,72.0,4.0,0.0,0.0,0.0,4.0,0.0,0.02,76.0,0.0,4.0,0.02,,20000.0
Bułgaria,2013,91.0,4.0,0.0,0.0,,,,,95.0,0.0,,,,
Bułgaria,2014,147.0,6.0,0.0,0.0,,,,,153.0,0.0,,,,
Bułgaria,2015,183.0,24.0,0.01,0.0,10.0,,0.06,,207.0,0.01,,,2070000.0,
Bułgaria,2016,215.0,31.0,0.01,0.0,11.0,,0.05,,246.0,0.01,,,2460000.0,
Bułgaria,2017,384.0,133.0,0.01,0.0,13.0,48.0,0.05,0.18,517.0,0.01,61.0,0.22999999999999998,5170000.0,26521.739130434784
Bułgaria,2018,710.0,252.0,0.03,0.01,145.0,77.0,0.51,0.27,962.0,0.04,222.0,0.78,2405000.0,28461.53846153846
Bułgaria,2019,1185.0,662.0,0.04,0.02,188.0,88.0,0.57,0.27,1847.0,0.06,276.0,0.84,3078333.3333333335,32857.14285714286
Bułgaria,2020,1933.0,953.0,0.07,0.03,277.0,279.0,1.24,1.25,2886.0,0.1,556.0,2.49,2886000.0,22329.317269076302
Bułgaria,2021,3369.0,1293.0,0.12,0.05,550.0,267.0,2.24,1.09,4662.0,0.16999999999999998,817.0,3.33,2742352.941176471,24534.53453453453
Bułgaria,2022,6293.0,1889.0,0.22,0.07,1021.0,456.0,3.56,1.59,8182.0,0.29000000000000004,1477.0,5.15,2821379.3103448274,28679.611650485436
Bułgaria,2023,11472.0,3232.0,0.41,0.12,1754.0,338.0,4.9,0.95,14704.0,0.53,2092.0,5.8500000000000005,2774339.6226415094,35760.68376068376
Bułgaria,2024,19020.0,6235.0,0.61,0.2,1665.0,1498.0,3.96,3.56,25255.0,0.81,3163.0,7.52,3117901.2345679007,42061.17021276597
Bułgaria,2025,21545.0,6813.0,0.68,0.22,2428.0,582.0,4.9,1.18,28358.0,0.9,3010.0,6.08,3150888.8888888885,49506.57894736842
Chorwacja,2008,1.0,,,,0.0,0.0,,,,,0.0,,,
Chorwacja,2009,1.0,,0.0,,0.0,0.0,,,,,0.0,,,
Chorwacja,2010,3.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Chorwacja,2011,7.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Chorwacja,2012,13.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Chorwacja,2013,24.0,12.0,0.0,0.0,,,,,36.0,0.0,,,,
Chorwacja,2014,39.0,33.0,0.0,0.0,14.0,,0.02,,72.0,0.0,,,,
Chorwacja,2015,163.0,70.0,0.01,0.0,70.0,30.0,0.09,0.04,233.0,0.01,100.0,0.13,2330000.0,76923.07692307692
Chorwacja,2016,233.0,96.0,0.02,0.01,45.0,29.0,0.05,0.03,329.0,0.03,74.0,0.08,1096666.6666666667,92500.0
Chorwacja,2017,285.0,132.0,0.02,0.01,7.0,16.0,0.01,0.02,417.0,0.03,23.0,0.03,1390000.0000000002,76666.66666666667
Chorwacja,2018,461.0,230.0,0.03,0.01,130.0,5.0,0.09,0.0,691.0,0.04,135.0,0.09,1727500.0,150000.0
Chorwacja,2019,725.0,352.0,0.04,0.02,240.0,116.0,0.16,0.08,1077.0,0.06,356.0,0.24,1795000.0000000002,148333.33333333334
Chorwacja,2020,1314.0,553.0,0.08,0.03,533.0,142.0,1.48,0.39,1867.0,0.11,675.0,1.87,1697272.727272727,36096.25668449198
Chorwacja,2021,2977.0,1181.0,0.17,0.07,1351.0,399.0,3.01,0.89,4158.0,0.24000000000000002,1750.0,3.9,1732499.9999999998,44871.794871794875
