"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,,,
2009,328,,,,,
2010,353,,,,,
2011,989,,,,2670,
2012,1389,141,,,3109,
2013,2070,408,,,3651,
2014,3386,776,3,,4262,
2015,5032,1512,6,,5087,
2016,9073,2287,13,342,5031,
2017,14618,3948,19,337,5206,
2018,20831,5710,24,329,5542,
2019,29523,8042,41,343,5746,
2020,44507,15237,45,332,5731,
2021,76539,29021,55,332,5455,
2022,110225,41580,62,332,5180,
2023,155490,56864,67,335,4779,
2024,200603,74768,62,298,4396,
2025,257717,105381,53,304,3979,
2026,296746,123404,51,292,3776,0
