"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0.01,,,,,
"2010",0.01,,,,,
"2011",0.02,,,,0.06,
"2012",0.03,0,,,0.07,
"2013",0.04,0.01,,,0.08,
"2014",0.07,0.02,0,,0.09,
"2015",0.11,0.03,0,,0.11,
"2016",0.19,0.05,0,0.01,0.1,
"2017",0.3,0.08,0,0.01,0.11,
"2018",0.42,0.11,0,0.01,0.11,
"2019",0.59,0.16,0,0.01,0.11,
"2020",0.87,0.3,0,0.01,0.11,
"2021",1.49,0.57,0,0.01,0.11,
"2022",2.14,0.81,0,0.01,0.1,
"2023",3,1.1,0,0.01,0.09,
"2024",3.83,1.43,0,0.01,0.08,
"2025",4.88,1.99,0,0.01,0.08,
