"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,10,,,46550,37,
2009,10,,,42424,61,
2010,36,,1,37440,94,
2011,162,16,1,33598,143,
2012,647,338,1,29954,227,
2013,919,359,1,23884,260,
2014,1792,1159,2,20972,498,
2015,2871,4098,8,18368,630,
2016,4368,11422,20,16690,1174,
2017,8552,22273,31,15688,2121,
2018,9244,33005,41,15076,5905,
2019,15338,41987,41,14426,5283,
2020,23983,74988,64,14645,7905,
2021,40851,123435,85,14977,9743,
2022,71651,182996,105,17740,9969,
2023,138749,265455,107,20373,10420,
2024,254240,326468,109,22786,10813,
2025,447937,390212,110,25339,10772,
2026,531260,403198,110,25339,10772,0
