"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0,,,0.82,0,
"2010",0,,0,0.71,0,
"2011",0,0,0,0.62,0,
"2012",0.01,0.01,0,0.55,0,
"2013",0.02,0.01,0,0.43,0,
"2014",0.03,0.02,0,0.38,0.01,
"2015",0.05,0.07,0,0.33,0.01,
"2016",0.08,0.2,0,0.29,0.02,
"2017",0.15,0.38,0,0.27,0.04,
"2018",0.16,0.56,0,0.26,0.1,
"2019",0.26,0.71,0,0.24,0.09,
"2020",0.41,1.27,0,0.25,0.13,
"2021",0.69,2.08,0,0.25,0.16,
"2022",1.2,3.08,0,0.3,0.17,
"2023",2.32,4.43,0,0.34,0.17,
"2024",4.18,5.36,0,0.37,0.18,
"2025",7.3,6.36,0,0.41,0.18,
