"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,141205,4000,
2009,,,,141205,5000,
2010,,,,141205,6000,
2011,,,,141205,7000,
2012,72,4,,141205,8500,
2013,91,4,,141205,10000,
2014,147,6,,141205,11000,
2015,183,24,,141205,12943,
2016,215,31,,141205,14636,
2017,384,133,,142984,15664,
2018,710,252,,157440,17829,
2019,1185,662,,165000,19829,
2020,1933,953,,170000,20829,
2021,3369,1293,,170080,20829,
2022,6293,1889,,168574,20829,
2023,11472,3232,1,167974,20621,
2024,19020,6235,1,166139,18233,
2025,21545,6813,1,165377,16455,
2026,23592,7277,1,165377,16455,0
