"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,5.64,0.2,
"2010",,,,5.43,0.23,
"2011",,,,5.24,0.26,
"2012",0,0,,5.03,0.3,
"2013",0,0,,4.85,0.34,
"2014",0,0,,4.69,0.36,
"2015",0.01,0,,4.47,0.41,
"2016",0.01,0,,4.49,0.47,
"2017",0.01,0,,5.16,0.57,
"2018",0.03,0.01,,5.68,0.64,
"2019",0.04,0.02,,5.83,0.7,
"2020",0.07,0.03,,5.93,0.73,
"2021",0.12,0.05,,6.01,0.74,
"2022",0.22,0.07,,5.98,0.74,
"2023",0.41,0.12,0,6.04,0.74,
"2024",0.61,0.2,0,5.33,0.59,
"2025",0.68,0.22,0,5.24,0.52,
