"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,,,
2009,,,,2000,,
2010,,,,2000,,
2011,56,,,2500,,
2012,600,5,,3000,117,
2013,708,10,,3500,532,
2014,1067,36,,4000,1067,
2015,1099,48,,5000,1116,
2016,1130,55,,5840,1156,
2017,1154,80,,6000,1191,
2018,1258,119,,6160,1254,
2019,1466,147,,6200,1382,
2020,1769,256,,6210,1773,
2021,2260,420,1,6212,2456,
2022,2989,644,2,6213,3461,
2023,4423,1173,2,6201,5796,
2024,5743,2099,2,6145,6605,
2025,10084,8021,41,9927,4438,1
2026,11596,9593,50,10168,4354,0
