"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,0.37,,
"2010",,,,0.36,,
"2011",0.01,,,0.44,,
"2012",0.1,0,,0.5,0.02,
"2013",0.11,0,,0.56,0.08,
"2014",0.16,0.01,,0.61,0.16,
"2015",0.16,0.01,,0.74,0.16,
"2016",0.16,0.01,,0.83,0.16,
"2017",0.16,0.01,,0.83,0.16,
"2018",0.17,0.02,,0.83,0.17,
"2019",0.18,0.02,,0.78,0.17,
"2020",0.22,0.03,,0.77,0.22,
"2021",0.27,0.05,0,0.75,0.3,
"2022",0.35,0.08,0,0.72,0.4,
"2023",0.5,0.13,0,0.71,0.66,
"2024",0.86,0.31,0,0.92,0.99,
"2025",1.49,1.19,0.01,1.47,0.66,0
