"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,7,,,1,210,
2009,13,,,2,366,
2010,23,,,3,484,
2011,56,,,2,621,
2012,109,128,,4,831,
2013,169,288,1,4,1020,
2014,386,566,1,4,1250,
2015,657,1017,1,4,1503,
2016,889,2437,1,2,1822,
2017,1538,5719,1,2,3155,
2018,2500,13095,1,2,5601,
2019,4830,24703,1,2,9380,
2020,9959,45620,1,2,12357,
2021,23497,76990,2,2,13472,
2022,44889,104038,2,12,15607,
2023,83762,135105,2,13,16387,
2024,118297,166848,2,12,16639,
2025,164705,187039,17,12,16352,
2026,192987,192473,17,14,16359,0
