"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,2602,,,235000,,
2009,2599,,,230000,,
2010,2604,,,225918,,
2011,5293,,,223377,,
2012,7071,666,,207684,,
2013,16165,1466,,184011,,
2014,25950,2985,3,169613,2376,
2015,41901,8025,13,161929,2549,
2016,61338,14492,47,153985,2127,
2017,82481,25295,76,147128,2173,
2018,106489,38734,111,144435,2202,
2019,141357,57294,174,144469,2382,
2020,245106,132309,385,143788,2668,
2021,470452,273600,396,158723,2686,
2022,690093,411593,589,172911,2714,
2023,916082,574602,614,202541,2726,
2024,1218319,721450,1001,270373,5511,
2025,1543440,825313,1277,320536,5447,
2026,1728682,884284,1277,349706,5447,0
