"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0.01,,,0.73,,
"2010",0.01,,,0.71,,
"2011",0.02,,,0.7,,
"2012",0.02,0,,0.63,,
"2013",0.04,0,,0.51,,
"2014",0.07,0.01,0,0.46,0.01,
"2015",0.11,0.02,0,0.44,0.01,
"2016",0.16,0.04,0,0.41,0.01,
"2017",0.22,0.07,0,0.39,0.01,
"2018",0.28,0.1,0,0.38,0.01,
"2019",0.37,0.15,0,0.38,0.01,
"2020",0.64,0.34,0,0.37,0.01,
"2021",1.21,0.71,0,0.41,0.01,
"2022",1.76,1.05,0,0.44,0.01,
"2023",2.32,1.45,0,0.51,0.01,
"2024",3.08,1.83,0,0.68,0.01,
"2025",3.88,2.08,0,0.81,0.01,
