"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,15000,,
2009,,,,20000,,
2010,1,,,45000,,
2011,1,,,150000,,
2012,2,,,185000,6,
2013,3,,,205000,280,
2014,45,17,,220000,280,
2015,84,40,,263662,484,
2016,114,53,,275000,496,
2017,148,207,,275000,701,
2018,215,366,,275000,920,
2019,426,570,,261936,2567,
2020,1104,2031,,248985,3829,
2021,3280,6823,,237307,4360,
2022,6306,12269,,226213,4875,
2023,12315,20643,,219450,5746,
2024,17987,27290,,219797,5739,
2025,30789,38323,,222194,5773,
2026,36094,43638,0,223889,5773,0
