"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0,0,,,0.28,
"2010",0.06,0,,,1.61,
"2011",0,0,,,3.29,
"2012",0.21,0.15,,,2.16,
"2013",0.73,0.26,,,0.69,
"2014",1.41,0.39,,,0.4,
"2015",1.82,1.04,,,1.58,
"2016",1.23,3.35,,,1.95,
"2017",3.25,8.17,,,1.23,
"2018",3.62,12.57,0.05,,0.68,
"2019",8.35,12.72,0.05,,0.39,
"2020",27,24.21,0.01,0,0.45,
"2021",33.45,38.27,0.02,0.02,0.05,
"2022",41.2,30.29,0,,0.02,
"2023",57.36,12.42,0.01,,0.02,
"2024",25.99,16.45,0,,0.04,
"2025",41.22,20.28,0,,,
"2026",42.39,19.47,0,,,
