"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,212000,40,
2009,,,,200000,,
2010,,,,190000,10,
2011,,,,180000,,
2012,,,,170000,75,
2013,2,4,,160000,80,
2014,70,14,,150000,28,
2015,169,28,,140000,38,
2016,358,44,,117771,50,
2017,619,241,,111372,75,
2018,965,671,,108362,100,
2019,1395,1172,,102944,100,
2020,2475,1951,,97797,181,
2021,4831,3206,,92907,257,
2022,7305,4942,1,102984,861,58
2023,11424,7530,1,98931,784,45
2024,15983,12291,1,97875,1127,45
2025,19876,17272,1,96322,1496,44
2026,28013,26744,1,96322,1496,44
