"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,,,
"2010",,,,,,
"2011",0.01,,,,,
"2012",0.03,0.01,,,,
"2013",0.07,0.02,,0.04,0.03,
"2014",0.14,0.04,,0.04,0.04,
"2015",0.15,0.07,,0.04,0.04,
"2016",0.18,0.11,,0.07,0.05,
"2017",0.24,0.25,,0.07,0.05,
"2018",0.32,0.41,0,0.07,0.05,
"2019",0.51,0.56,0,0.06,0.04,
"2020",1.03,1.05,0,0.06,0.04,
"2021",1.94,1.78,0,0.06,0.03,
"2022",3.1,2.38,0,0.06,0.03,
"2023",5.1,3.1,0,0.06,0.03,
"2024",6.95,3.72,0,0.06,0.03,
"2025",8.49,3.97,0,0.06,0.03,
