"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,1243,,,2500,,
2009,1388,,,2600,,
2010,1782,,,2650,,
2011,3982,1,,2750,,
2012,6543,341,,2750,353,
2013,17868,453,4,380,124,
2014,42356,2150,4,428,130,
2015,73312,10164,21,420,158,
2016,98532,34431,41,400,116,
2017,138983,67315,98,,169,
2018,195348,96133,140,,223,
2019,260689,116042,146,,233,
2020,340002,146153,153,,224,
2021,460734,184503,195,,218,
2022,599169,198841,216,,195,
2023,689169,207021,142,,179,
2024,788750,208168,153,,162,
2025,945182,208312,153,,155,
2026,1016799,208987,153,0,153,0
