"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0.06,,,0.12,,
"2010",0.08,,,0.11,,
"2011",0.17,0,,0.12,,
"2012",0.27,0.01,,0.11,0.01,
"2013",0.71,0.02,0,0.02,0,
"2014",1.66,0.08,0,0.02,0.01,
"2015",2.81,0.39,0,0.02,0.01,
"2016",3.7,1.29,0,0.02,0,
"2017",5.11,2.48,0,,0.01,
"2018",7.1,3.49,0.01,,0.01,
"2019",9.31,4.14,0.01,,0.01,
"2020",11.58,4.98,0.01,,0.01,
"2021",15.34,6.14,0.01,,0.01,
"2022",19.58,6.5,0.01,,0.01,
"2023",23.95,7.19,0,,0.01,
"2024",27.38,7.23,0.01,,0.01,
"2025",32.86,7.24,0.01,,0.01,
