"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0.11,0,,,,
"2010",0.3,0,,,,
"2011",1.45,0,,,,
"2012",3.08,0.25,,,,
"2013",5.25,0.33,,,,
"2014",12,1.13,,,,
"2015",16.11,4.95,0.01,0,,
"2016",14.89,12.87,0.01,,0,
"2017",19.58,17.38,0.03,,0.02,
"2018",29.03,16.71,0.03,,0.04,
"2019",40.56,12.86,0.02,0,0.01,
"2020",54.27,20.38,0.01,0,0,
"2021",64.45,21.65,0.02,0,0,
"2022",79.33,9.25,0.02,,,
"2023",81.88,7.98,0,,0,
"2024",88.15,2.72,0.01,,,
"2025",95.82,1.53,0,,,
"2026",97.63,0.65,0,,,
