"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,28,,,32000,,
2009,29,,,35000,,
2010,59,36,,38000,,
2011,242,39,,37000,,
2012,338,69,,37000,,
2013,437,99,,40443,11,
2014,672,215,,46955,0,
2015,1398,687,,48062,15,
2016,2383,1781,,49301,25,
2017,7405,4337,,52315,32,
2018,16774,9675,,56213,55,
2019,29033,17368,,56638,102,
2020,33882,31007,,55668,132,
2021,50138,48004,3,54033,156,
2022,68320,65729,3,55572,165,
2023,106424,97356,4,63637,166,
2024,166760,131340,4,75133,164,
2025,243954,167325,7,89152,163,
2026,279090,188409,7,97409,163,0
