"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,170000,,
2009,,,,185000,,
2010,,,,190000,,
2011,5,,,190000,,
2012,5,5,,190000,,
2013,42,6,,195000,384,
2014,59,20,,190000,512,
2015,97,59,,190000,753,
2016,164,147,,190000,655,
2017,399,278,,220000,556,
2018,854,510,,250000,167,
2019,2718,798,,238915,210,
2020,5563,1847,,236247,260,
2021,11883,4840,,229020,260,
2022,23474,8321,,222154,260,
2023,38553,10205,,231419,256,
2024,49594,16900,,247755,253,
2025,58322,19622,,265832,251,
2026,64009,26209,0,271462,251,0
