"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,4000,,
2009,,,,3000,,
2010,664,1,,3100,,
2011,664,38,,3100,,
2012,1023,442,,1000,8126,
2013,2186,654,,400,11278,
2014,4443,1489,,200,11606,
2015,7534,4248,10,100,11612,
2016,10727,6630,36,100,12602,
2017,14543,9606,52,100,13502,
2018,19185,14179,81,100,14345,
2019,28722,18435,106,100,15235,
2020,43405,32824,144,100,15797,
2021,71715,54637,200,100,15470,
2022,110788,72795,272,98,15275,
2023,155556,81640,289,98,15086,
2024,200803,102845,289,103,14880,
2025,249832,126730,290,101,14663,
2026,277636,141162,290,102,14648,0
