"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,0.07,,
"2010",0.02,0,,0.08,,
"2011",0.02,0,,0.07,,
"2012",0.02,0.01,,0.02,0.19,
"2013",0.05,0.01,,0.01,0.26,
"2014",0.1,0.03,,0,0.26,
"2015",0.17,0.09,0,0,0.26,
"2016",0.23,0.14,0,0,0.28,
"2017",0.31,0.21,0,0,0.29,
"2018",0.41,0.3,0,0,0.31,
"2019",0.61,0.39,0,0,0.32,
"2020",0.92,0.69,0,0,0.33,
"2021",1.5,1.14,0,0,0.32,
"2022",2.3,1.51,0.01,0,0.32,
"2023",3.27,1.71,0.01,0,0.32,
"2024",4.19,2.14,0.01,0,0.31,
"2025",5.21,2.64,0.01,0,0.31,
