"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,1012,
"2009",21,0,,,1341,
"2010",123,0,,,885,
"2011",398,38,,,932,
"2012",463,394,,,502,
"2013",994,166,,,781,
"2014",1476,638,,,1019,
"2015",3823,2217,10,0,1034,
"2016",3445,2001,26,180,936,
"2017",4913,3292,1,,760,
"2018",5389,4059,22,2,803,
"2019",13100,4250,25,,1249,
"2020",19311,14385,42,1,562,
"2021",31676,21813,66,2,270,
"2022",40001,18353,72,1,122,
"2023",52540,23021,27,,72,
"2024",44715,18916,0,,35,
"2025",52947,26166,1,,13,
"2026",27597,14447,0,,5,
