"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0.01,0,,,0.46,
"2010",0.04,0,,,0.3,
"2011",0.13,0.01,,,0.29,
"2012",0.14,0.12,,,0.15,
"2013",0.32,0.05,,,0.25,
"2014",0.48,0.21,,,0.33,
"2015",1.16,0.67,0,0,0.31,
"2016",1.06,0.62,0.01,0.06,0.29,
"2017",1.54,1.03,0,,0.24,
"2018",1.76,1.33,0.01,0,0.26,
"2019",4.11,1.33,0.01,,0.39,
"2020",8.15,6.07,0.02,0,0.24,
"2021",13.28,9.15,0.03,0,0.11,
"2022",17.7,8.12,0.03,0,0.05,
"2023",20.83,9.13,0.01,,0.03,
"2024",18.65,7.89,0,,0.01,
"2025",22.65,11.19,0,,0.01,
"2026",23.68,12.4,0,,0,
