"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,129,,,300,14000,
2009,157,,,400,19700,
2010,190,,,350,27400,
2011,366,,,486,33000,
2012,603,651,,486,38500,
2013,1010,1637,,22,37309,
2014,2172,4922,,30,40077,
2015,4765,9776,3,27,42652,
2016,7532,18832,22,21,43676,
2017,11034,32253,36,17,43689,
2018,16664,49394,41,14,42463,
2019,30343,66609,42,13,41633,
2020,55790,122290,39,12,43908,
2021,110177,189498,44,14,43444,
2022,197709,239531,42,16,40326,
2023,291678,272342,44,16,36528,
2024,358260,313546,46,15,34138,
2025,432709,373812,46,15,31396,
2026,491944,408772,46,15,31684,0
