"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0,,,0.01,0.46,
"2010",0,,,0.01,0.63,
"2011",0.01,,,0.01,0.75,
"2012",0.01,0.01,,0.01,0.87,
"2013",0.02,0.04,,0,0.83,
"2014",0.05,0.11,,0,0.87,
"2015",0.1,0.21,0,0,0.91,
"2016",0.16,0.4,0,0,0.92,
"2017",0.23,0.67,0,0,0.9,
"2018",0.34,1.01,0,0,0.87,
"2019",0.62,1.36,0,0,0.85,
"2020",1.13,2.47,0,0,0.89,
"2021",2.21,3.8,0,0,0.87,
"2022",3.97,4.81,0,0,0.81,
"2023",5.86,5.47,0,0,0.73,
"2024",7.2,6.3,0,0,0.69,
"2025",8.59,7.42,0,0,0.62,
