"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,0,,
2009,,,,1400,,
2010,,,,2800,,
2011,25,17,,40000,,
2012,26,17,,43000,900,
2013,50,,,43000,1100,
2014,113,88,,43000,1170,
2015,137,156,,43000,1534,
2016,198,156,,45525,1410,
2017,398,345,,47651,1613,
2018,795,620,,49083,1856,
2019,956,826,,50583,2008,
2020,1863,1643,,49554,2352,
2021,2999,2655,2,47458,2419,
2022,4528,4215,3,46874,2776,
2023,7896,7145,3,47415,3182,
2024,14612,10904,,49134,2730,
2025,18895,14135,1,50228,2722,
2026,21609,16047,1,50836,2722,0
