"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,2214661,,
2009,,,,2525449,,
2010,,,,2900034,,
2011,,,,3259388,,
2012,230,,,3569143,,
2013,230,,,3852336,80,
2014,412,20,,4076730,84,
2015,565,127,,4272044,84,
2016,643,210,,4439658,63,
2017,760,237,,4616842,488,
2018,952,281,,4794026,488,
2019,1176,539,,4838322,488,
2020,2797,1026,,4871544,488,
2021,6267,1795,,4896460,488,
2022,14552,2346,,4915148,488,
2023,80043,5906,,4928668,488,
2024,183151,19543,,4937751,486,
2025,375192,69231,,4937145,481,
2026,449531,78453,0,4940975,476,0
