"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,189,,,50900,,
2009,354,,,50900,,
2010,1562,176,,51000,,
2011,2635,176,,49000,,
2012,4109,1184,,48700,,
2013,6268,2262,5,46300,,
2014,12363,9886,11,43900,,
2015,20958,27655,22,40300,,
2016,29720,55041,32,36000,,
2017,42020,87030,67,31800,,
2018,56310,126277,103,28200,,
2019,90858,156086,171,25600,,
2020,193992,214632,228,22500,,
2021,379220,321551,235,21000,,
2022,628984,413759,245,20465,,
2023,930649,540108,270,20244,,
2024,1287198,686740,270,19581,,
2025,1736413,903565,270,19531,,
2026,2021027,1052231,270,19531,0,0
