"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,0,,166,
"2009",124,0,0,,255,
"2010",90,0,0,,149,
"2011",1073,7,0,,106,
"2012",1416,989,0,,73,
"2013",2539,902,5,,0,
"2014",7501,7076,6,,0,
"2015",11443,17091,11,,13,
"2016",11854,26270,10,,33,
"2017",15813,32360,34,,,
"2018",17111,42845,36,,,
"2019",37972,36425,68,,,
"2020",107561,67141,57,0,0,
"2021",191359,120146,12,,,
"2022",267171,101722,10,,,
"2023",314688,142568,25,,,
"2024",383581,168124,0,,,
"2025",473348,225151,0,,,
"2026",327686,176710,0,,,
