"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,24000,,
2009,,,,24000,,
2010,,,,24000,,
2011,9,,,24000,,
2012,90,17,,24000,,
2013,110,17,,24000,440,
2014,175,40,,24000,696,
2015,342,99,,24037,1742,
2016,758,210,,27916,1899,
2017,1996,522,,26780,2137,
2018,3839,1268,,27642,2259,
2019,6595,2122,,26270,2272,
2020,11012,5856,,25137,2275,
2021,18823,8002,2,24141,2277,
2022,29836,9945,5,23194,2279,
2023,41212,11679,5,22353,2258,
2024,65449,12620,8,25565,2208,
2025,94009,12668,11,25876,2151,
2026,101401,18892,11,26181,2151,0
