"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,1250000,506000,
2009,,,,1474000,612000,
2010,,,,1753000,661000,
2011,117,,,1776000,681000,
2012,623,145,,1867000,720000,
2013,1531,363,,1943722,774000,
2014,3430,832,10,2042000,833668,
2015,4584,1550,11,2137078,883190,
2016,5743,3149,11,2222873,911246,
2017,7560,5786,11,2309020,926704,
2018,12156,10820,11,2409840,945184,
2019,22728,16811,28,2505000,965000,
2020,53079,44212,35,2473188,981000,
2021,118034,114589,45,2512384,972144,
2022,158131,183055,56,2546218,978614,
2023,219540,252640,58,2615427,999542,
2024,277365,286737,58,2709285,909491,
2025,372693,383258,59,2801808,901563,
2026,435237,467310,59,2834915,901563,0
