"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,4.05,1.68,
"2010",,,,4.77,1.8,
"2011",0,,,4.79,1.83,
"2012",0,0,,5.04,1.94,
"2013",0,0,,5.26,2.09,
"2014",0.01,0,0,5.51,2.25,
"2015",0.01,0,0,5.72,2.36,
"2016",0.02,0.01,0,5.87,2.41,
"2017",0.02,0.02,0,5.99,2.41,
"2018",0.03,0.03,0,6.18,2.42,
"2019",0.06,0.04,0,6.33,2.44,
"2020",0.13,0.11,0,6.23,2.47,
"2021",0.3,0.29,0,6.31,2.44,
"2022",0.4,0.46,0,6.38,2.45,
"2023",0.55,0.63,0,6.53,2.5,
"2024",0.67,0.69,0,6.55,2.2,
"2025",0.89,0.91,0,6.69,2.15,
