rok,scenariusz,impuls_regulacji_ue_logit,prognozowany_udzial_ev_procent
2025,dane_rzeczywiste,0.0,12.96
2026,optymistyczny,0.2333333333333333,16.425411275495538
2026,realistyczny,0.0,13.467470276068171
2026,umiarkowanie_optymistyczny,0.1,14.67598782102688
2030,optymistyczny,1.1666666666666663,49.23936724594852
2030,realistyczny,0.0,23.199252333249287
2030,umiarkowanie_optymistyczny,0.5,33.24567680923133
2035,optymistyczny,2.333333333333333,82.6351639304874
2035,realistyczny,0.0,31.57559005955642
2035,umiarkowanie_optymistyczny,1.0,55.6422341847781
2040,optymistyczny,3.5,95.37516285805958
2040,realistyczny,0.0,38.37590966668143
2040,umiarkowanie_optymistyczny,1.5,73.62129067133412
