rok,szacowana_calkowita_flota_samochodow_osobowych,szacowane_wszystkie_nowe_rejestracje,metoda
2024,22951213.0,,skumulowana_bez_wycofan
2025,23498372.685661107,547159.6856611073,skumulowana_bez_wycofan
2026,24073122.346052513,574749.6603914052,skumulowana_bez_wycofan
2027,24675461.981174216,602339.6351217031,skumulowana_bez_wycofan
2028,25305391.591026224,629929.6098520085,skumulowana_bez_wycofan
2029,25962911.17560853,657519.5845823064,skumulowana_bez_wycofan
2030,26648020.734921135,685109.5593126044,skumulowana_bez_wycofan
2031,27360720.268964037,712699.5340429023,skumulowana_bez_wycofan
2032,28101009.777737245,740289.5087732077,skumulowana_bez_wycofan
2033,28868889.26124075,767879.4835035056,skumulowana_bez_wycofan
2034,29664358.719474554,795469.4582338035,skumulowana_bez_wycofan
2035,30487418.152438663,823059.4329641089,skumulowana_bez_wycofan
2036,31338067.56013307,850649.4076944068,skumulowana_bez_wycofan
2037,32216306.942557774,878239.3824247047,skumulowana_bez_wycofan
2038,33122136.299712777,905829.3571550027,skumulowana_bez_wycofan
2039,34055555.631598085,933419.331885308,skumulowana_bez_wycofan
2040,35016564.93821369,961009.306615606,skumulowana_bez_wycofan
