rok,szacowana_calkowita_flota_samochodow_osobowych,liczba_ev_realistyczny,liczba_ev_umiarkowanie_optymistyczny,liczba_ev_optymistyczny,udzial_ev_we_flocie_realistyczny_procent,udzial_ev_we_flocie_umiarkowanie_optymistyczny_procent,udzial_ev_we_flocie_optymistyczny_procent
2024,22951213.0,141455.0,141455.0,141455.0,0.6163290802974117,0.6163290802974117,0.6163290802974117
2025,23498372.685661107,202955.0,202955.0,202955.0,0.8636981067367475,0.8636981067367475,0.8636981067367475
2026,24073122.346052516,274294.6352124231,280696.37206707,289963.3857315165,1.1394227606598843,1.1660156419763232,1.2045109128898037
2027,24675461.981174216,360017.9083980115,381818.20617299865,414791.2438538968,1.459011825888739,1.5473599094691775,1.6809867396620812
2028,25305391.591026224,460573.74166387535,509284.3421693952,585241.5873816004,1.820061705060528,2.0125527018123566,2.3127150009768602
2029,25962911.17560853,575639.234035764,664887.1917119586,806296.2307309058,2.217159817488271,2.560911552694455,3.105569422771048
2030,26648020.73492113,704337.3299831909,849317.9329431924,1079452.137618794,2.64311311143715,3.187170789874823,4.0507779108870805
2031,27360720.26896404,845585.8984124328,1062552.3013586786,1403204.649717974,3.0905103743617537,3.8834953572620625,5.1285369534283225
2032,28101009.777737245,998396.18729483,1304266.1724469678,1774055.371940322,3.5528836692758268,4.641349840318764,6.31313744940867
2033,28868889.26124075,1162027.2021866636,1574088.7172638932,2187446.5944745447,4.025188470783309,5.452543404145646,7.577176159012815
2034,29664358.719474558,1336013.3262156337,1871678.481624954,2638425.486079566,4.503766081208238,6.309519444949953,8.894260991886698
2035,30487418.152438663,1521059.5986954542,2197765.437052291,3122702.3921406665,4.989138768950777,7.208762073795001,10.242593769426435
2036,31338067.56013307,1716209.5327143942,2550865.909924416,3634949.842205779,5.476437018400207,8.139831548418503,11.599151208768228
2037,32216306.94255777,1921531.187953105,2930456.202104736,4171069.356420759,5.96446759518162,9.096189104883406,12.947074796182715
2038,33122136.299712777,2137173.0692412383,3335871.324311765,4727526.498312359,6.452401046546539,10.071425629453413,14.273012028977593
2039,34055555.631598085,2363333.7535714805,3766298.0463436255,5301359.214966922,6.939642327781276,11.059276457228336,15.566797007558181
2040,35016564.93821369,2600241.0175331333,4220786.778826083,5890141.8413294535,7.425745563910187,12.053685980545524,16.82101557283685
