rok,realistyczny,umiarkowanie_optymistyczny,optymistyczny
2025,202955.0,202955.0,202955.0
2026,274294.6352124231,280696.37206707,289963.3857315165
2027,360017.9083980115,381818.20617299865,414791.24385389674
2028,460573.74166387535,509284.34216939524,585241.5873816004
2029,575639.234035764,664887.1917119586,806296.2307309058
2030,704337.3299831909,849317.9329431924,1079452.137618794
2031,845585.8984124328,1062552.3013586786,1403204.649717974
2032,998396.1872948301,1304266.1724469678,1774055.371940322
2033,1162027.2021866636,1574088.7172638932,2187446.5944745447
2034,1336013.3262156337,1871678.4816249541,2638425.486079566
2035,1521059.5986954542,2197765.437052291,3122702.3921406665
2036,1716209.5327143942,2550865.909924416,3634949.842205779
2037,1921531.187953105,2930456.202104736,4171069.356420759
2038,2137173.0692412383,3335871.324311765,4727526.498312359
2039,2363333.7535714805,3766298.0463436255,5301359.214966922
2040,2600241.0175331333,4220786.778826083,5890141.8413294535
