panstwo,rok,scenariusz,prognozowany_udzial_ev_procent,szacowane_wszystkie_nowe_rejestracje,szacowane_nowe_ev,szacowana_flota_ev
Polska,2026,optymistyczny,16.425411275495538,529718.1560459379,87008.38573151654,289963.3857315165
Polska,2027,optymistyczny,23.289805834657383,535976.3795738686,124827.85812238025,414791.24385389674
Polska,2028,optymistyczny,31.43479640595764,542234.6031018011,170450.34352770366,585241.5873816004
Polska,2029,optymistyczny,40.30219405194365,548492.8266297318,221054.64334930538,806296.2307309058
Polska,2030,optymistyczny,49.23936724594852,554751.0501576643,273155.90688788844,1079452.137618794
Polska,2031,optymistyczny,57.70894123946666,561009.2736855969,323752.5120991798,1403204.649717974
Polska,2032,optymistyczny,65.37492876711646,567267.4972135276,370850.722222348,1774055.371940322
Polska,2033,optymistyczny,72.07893344343587,573525.7207414601,413391.2225342229,2187446.5944745447
Polska,2034,optymistyczny,77.78395660357899,579783.9442693908,450978.8916050215,2638425.486079566
Polska,2035,optymistyczny,82.6351639304874,586042.1677973233,484276.90606110013,3122702.3921406665
Polska,2036,optymistyczny,86.48440176089953,592300.391325254,512247.4500651128,3634949.842205779
Polska,2037,optymistyczny,89.56842336092323,598558.6148531865,536119.5142149801,4171069.356420759
Polska,2038,optymistyczny,92.00424104941264,604816.8383811172,556457.1418915995,4727526.498312359
Polska,2039,optymistyczny,93.90543853350226,611075.0619090497,573832.7166545637,5301359.214966922
Polska,2040,optymistyczny,95.37516285805958,617333.2854369823,588782.6263625317,5890141.8413294535
Polska,2026,realistyczny,13.467470276068171,529718.1560459379,71339.6352124231,274294.6352124231
Polska,2027,realistyczny,15.993852798838493,535976.3795738686,85723.2731855884,360017.9083980115
Polska,2028,realistyczny,18.544709741990605,542234.6031018011,100555.83326586381,460573.74166387535
Polska,2029,realistyczny,20.97848627828369,548492.8266297318,115065.49237188863,575639.234035764
Polska,2030,realistyczny,23.199252333249287,554751.0501576643,128698.09594742687,704337.3299831909
Polska,2031,realistyczny,25.177581736091053,561009.2736855969,141248.56842924192,845585.8984124328
Polska,2032,realistyczny,26.93795953990246,567267.4972135276,152810.28888239738,998396.1872948301
Polska,2033,realistyczny,28.53071954302061,573525.7207414601,163631.01489183356,1162027.2021866636
Polska,2034,realistyczny,30.008786160544144,579783.9442693908,173986.12402896993,1336013.3262156337
Polska,2035,realistyczny,31.57559005955642,586042.1677973233,185046.27247982056,1521059.5986954542
Polska,2036,realistyczny,32.94779758330025,592300.391325254,195149.93401893997,1716209.5327143942
Polska,2037,realistyczny,34.302681499132994,598558.6148531865,205321.65523871072,1921531.187953105
Polska,2038,realistyczny,35.65408031055004,604816.8383811172,215641.88128813318,2137173.0692412383
Polska,2039,realistyczny,37.01029520394718,611075.0619090497,226160.6843302423,2363333.7535714805
Polska,2040,realistyczny,38.37590966668143,617333.2854369823,236907.26396165296,2600241.0175331333
Polska,2026,umiarkowanie_optymistyczny,14.67598782102688,529718.1560459379,77741.37206707001,280696.37206707
Polska,2027,umiarkowanie_optymistyczny,18.86684524909964,535976.3795738686,101121.83410592868,381818.20617299865
Polska,2028,umiarkowanie_optymistyczny,23.507562089774204,542234.6031018011,127466.13599639661,509284.34216939524
Polska,2029,umiarkowanie_optymistyczny,28.369167651413125,548492.8266297318,155602.84954256334,664887.1917119586
Polska,2030,umiarkowanie_optymistyczny,33.24567680923133,554751.0501576643,184430.74123123384,849317.9329431924
Polska,2031,umiarkowanie_optymistyczny,38.009063025754514,561009.2736855969,213234.36841548615,1062552.3013586786
Polska,2032,umiarkowanie_optymistyczny,42.61020987023071,567267.4972135276,241713.87108828925,1304266.1724469678
Polska,2033,umiarkowanie_optymistyczny,47.04628494570321,573525.7207414601,269822.5448169254,1574088.7172638932
Polska,2034,umiarkowanie_optymistyczny,51.32770013768937,579783.9442693908,297589.7643610609,1871678.4816249541
Polska,2035,umiarkowanie_optymistyczny,55.6422341847781,586042.1677973233,326086.95542733686,2197765.437052291
Polska,2036,umiarkowanie_optymistyczny,59.61510038547725,592300.391325254,353100.47287212475,2550865.909924416
Polska,2037,umiarkowanie_optymistyczny,63.41739685317626,598558.6148531865,379590.2921803201,2930456.202104736
Polska,2038,umiarkowanie_optymistyczny,67.03105741767754,604816.8383811172,405415.1222070286,3335871.324311765
Polska,2039,umiarkowanie_optymistyczny,70.43761869240276,611075.0619090497,430426.72203186055,3766298.0463436255
Polska,2040,umiarkowanie_optymistyczny,73.62129067133412,617333.2854369823,454488.7324824575,4220786.778826083
