panstwo,rok,scenariusz,impuls_regulacji_ue_logit,prognozowany_udzial_ev_procent
Polska,2026,realistyczny,0.0,13.467470276068171
Polska,2027,realistyczny,0.0,15.993852798838493
Polska,2028,realistyczny,0.0,18.544709741990605
Polska,2029,realistyczny,0.0,20.978486278283686
Polska,2030,realistyczny,0.0,23.199252333249287
Polska,2031,realistyczny,0.0,25.177581736091053
Polska,2032,realistyczny,0.0,26.93795953990246
Polska,2033,realistyczny,0.0,28.53071954302061
Polska,2034,realistyczny,0.0,30.008786160544144
Polska,2035,realistyczny,0.0,31.57559005955642
Polska,2036,realistyczny,0.0,32.94779758330025
Polska,2037,realistyczny,0.0,34.302681499132994
Polska,2038,realistyczny,0.0,35.65408031055004
Polska,2039,realistyczny,0.0,37.01029520394718
Polska,2040,realistyczny,0.0,38.37590966668143
Polska,2026,umiarkowanie_optymistyczny,0.1,14.675987821026881
Polska,2027,umiarkowanie_optymistyczny,0.2,18.866845249099637
Polska,2028,umiarkowanie_optymistyczny,0.30000000000000004,23.507562089774204
Polska,2029,umiarkowanie_optymistyczny,0.4,28.369167651413125
Polska,2030,umiarkowanie_optymistyczny,0.5,33.24567680923133
Polska,2031,umiarkowanie_optymistyczny,0.6000000000000001,38.009063025754514
Polska,2032,umiarkowanie_optymistyczny,0.7,42.61020987023071
Polska,2033,umiarkowanie_optymistyczny,0.8,47.04628494570321
Polska,2034,umiarkowanie_optymistyczny,0.8999999999999999,51.32770013768937
Polska,2035,umiarkowanie_optymistyczny,1.0,55.6422341847781
Polska,2036,umiarkowanie_optymistyczny,1.0999999999999999,59.61510038547725
Polska,2037,umiarkowanie_optymistyczny,1.2000000000000002,63.41739685317626
Polska,2038,umiarkowanie_optymistyczny,1.3,67.03105741767754
Polska,2039,umiarkowanie_optymistyczny,1.4,70.43761869240276
Polska,2040,umiarkowanie_optymistyczny,1.5,73.62129067133412
Polska,2026,optymistyczny,0.23333333333333334,16.425411275495538
Polska,2027,optymistyczny,0.4666666666666667,23.289805834657383
Polska,2028,optymistyczny,0.7000000000000001,31.434796405957638
Polska,2029,optymistyczny,0.9333333333333333,40.302194051943644
Polska,2030,optymistyczny,1.1666666666666665,49.239367245948515
Polska,2031,optymistyczny,1.4000000000000001,57.70894123946666
Polska,2032,optymistyczny,1.6333333333333333,65.37492876711646
Polska,2033,optymistyczny,1.8666666666666667,72.07893344343587
Polska,2034,optymistyczny,2.1,77.78395660357899
Polska,2035,optymistyczny,2.333333333333333,82.6351639304874
Polska,2036,optymistyczny,2.5666666666666664,86.48440176089953
Polska,2037,optymistyczny,2.8000000000000003,89.56842336092323
Polska,2038,optymistyczny,3.033333333333333,92.00424104941264
Polska,2039,optymistyczny,3.2666666666666666,93.90543853350226
Polska,2040,optymistyczny,3.5,95.37516285805958
