panstwo,rok,pkb_per_capita_pps,relacja_kosztu_ev_do_benzyny,punkty_ladowania_na_100_tys_mieszkancow,polityka_ue_etap,po_2035,prognozowany_udzial_ev_procent
Polska,2026,32064.53594771307,0.3908240963460638,59.25446902501136,2,0,23.789170446190646
Polska,2027,33139.53914688714,0.3974287955125533,84.10961270539983,2,0,29.274315375475368
Polska,2028,34214.54234606167,0.4040334946790427,112.84283634040928,2,0,35.43612121772313
Polska,2029,35289.54554523574,0.4106381938455321,142.36576851405758,2,0,42.12245328953188
Polska,2030,36364.54874441028,0.4172428930120215,169.2449769570633,2,0,49.11075029123344
Polska,2031,37439.55194358481,0.4238475921785092,191.1532290226584,2,0,56.133974107078274
Polska,2032,38514.55514275888,0.4304522913449986,207.45484732132064,2,0,62.919757659769516
Polska,2033,39589.55834193341,0.437056990511488,218.78076525480748,2,0,69.23120759810068
Polska,2034,40664.56154110748,0.4436616896779775,226.279897083355,2,0,74.89698429459638
Polska,2035,41739.56474028202,0.4502663888444669,231.088233843058,3,1,96.11989981333997
Polska,2036,42814.56793945655,0.4568710880109545,234.10804957210428,3,1,97.04567125341896
Polska,2037,43889.57113863062,0.463475787177444,235.9799941544577,3,1,97.75571589073927
Polska,2038,44964.57433780516,0.4700804863439334,237.13100702144052,3,1,98.29810084348834
Polska,2039,46039.577536979225,0.4766851855104228,237.83520752239343,3,1,98.71113373138004
Polska,2040,47114.58073615376,0.4832898846769122,238.2647270663956,3,1,99.02492224263165
