panstwo,rok,udzial_ev_procent,udzial_ev_dopasowany_procent
Austria,2009,0.01,0.1542102893164832
Austria,2010,0.03,0.16383066841519983
Austria,2011,0.18,0.19373934681243385
Austria,2012,0.21,0.24162381442296557
Austria,2013,0.24,0.2743954664059038
Austria,2014,0.51,0.30249100955765557
Austria,2015,0.8700000000000001,0.4466225146937668
Austria,2016,1.5099999999999998,0.6030778225435575
Austria,2017,2.05,0.6196545301299909
Austria,2018,2.61,0.80475197620718
Austria,2019,3.65,1.0575928006973059
Austria,2020,9.53,5.215968362175305
Austria,2021,20.02,8.301364473126114
Austria,2022,21.87,15.680441143029492
Austria,2023,26.77,27.97266216336873
Austria,2024,24.25,33.02194630282447
Austria,2025,31.39,85.9350936553025
Belgia,2009,0.0,0.07219133229016368
Belgia,2010,0.01,0.09514561844990199
Belgia,2011,0.05,0.10698586737683201
Belgia,2012,0.19,0.12533933855808854
Belgia,2013,0.11,0.1349554968493216
Belgia,2014,0.4,0.15494784808523743
Belgia,2015,0.75,0.23704001523410095
Belgia,2016,1.71,0.3891831491401959
Belgia,2017,2.63,0.49435959545540237
Belgia,2018,2.41,0.6025311418754401
Belgia,2019,3.17,0.822623687160114
Belgia,2020,11.13,4.209834208179611
Belgia,2021,18.39,6.748603741821032
Belgia,2022,26.85,18.831764915733483
Belgia,2023,40.66,34.46842955479548
Belgia,2024,43.19,35.179542101872464
Belgia,2025,43.89,84.344752102141
Bułgaria,2009,0.0,0.010220158145113616
Bułgaria,2010,0.0,0.010675078896476193
Bułgaria,2011,0.0,0.011631188238732344
Bułgaria,2012,0.02,0.012544368678723989
Bułgaria,2017,0.2299999999999999,0.033286356485447935
Bułgaria,2018,0.78,0.040456647442103685
Bułgaria,2019,0.84,0.05320043860081634
Bułgaria,2020,2.49,0.38529093983576945
Bułgaria,2021,3.33,0.625172201527043
Bułgaria,2022,5.15,0.9955999242088875
Bułgaria,2023,5.8500000000000005,1.6836403654384213
Bułgaria,2024,7.52,2.8564631453211886
Bułgaria,2025,6.08,25.419009642723527
Chorwacja,2015,0.13,0.049916279124492924
Chorwacja,2016,0.08,0.06554473219699868
Chorwacja,2017,0.03,0.07725193723712549
Chorwacja,2018,0.09,0.10045831416598924
Chorwacja,2019,0.24,0.13957657023989317
Chorwacja,2020,1.87,0.6858567618638901
Chorwacja,2021,3.9,1.356488351530195
Chorwacja,2022,4.83,2.332922014850437
Chorwacja,2023,4.67,6.228706303464627
Chorwacja,2024,4.92,7.9842821480886785
Chorwacja,2025,5.470000000000001,45.60782581827513
Cypr,2011,0.0,0.03820511171803953
Cypr,2012,0.0,0.03646582962755736
Cypr,2016,0.31,0.02355182244737192
Cypr,2017,0.75,0.038045050043074444
Cypr,2018,0.65,0.05588206129864137
Cypr,2019,1.2,0.10337342052767573
Cypr,2020,1.2,0.3943434729064397
Cypr,2021,1.9,0.8131815526188859
Cypr,2022,4.79,2.538906518605562
Cypr,2023,8.809999999999999,7.815784990929588
Cypr,2024,12.33,10.363940323449224
Cypr,2025,15.35,47.59578609288139
Czechy,2009,0.0,0.016542720853350117
Czechy,2010,0.0,0.015030762744495937
Czechy,2011,0.03,0.01657480528400924
Czechy,2012,0.06,0.016109631303825568
Czechy,2013,0.02,0.01967157235400733
Czechy,2014,0.04,0.02289011615604861
Czechy,2015,0.18,0.034005206446668705
Czechy,2016,0.13,0.04649551960374901
Czechy,2017,0.23,0.06739486029223593
Czechy,2018,0.37,0.09111202992829577
Czechy,2019,0.5,0.1495948467604292
Czechy,2020,2.58,0.9618740154622256
Czechy,2021,3.1100000000000003,1.0645214517563557
Czechy,2022,3.9,1.4213977789864873
Czechy,2023,5.9,4.880013193102402
Czechy,2024,7.21,7.815731142335548
Czechy,2025,9.99,48.71542231753112
Dania,2009,0.02,0.14292641867557423
Dania,2010,0.01,0.19877428482770834
Dania,2011,0.24,0.2191972233666481
Dania,2012,0.3,0.2032969196061594
Dania,2013,0.28,0.24886908396762475
Dania,2014,0.84,0.29741494703443466
Dania,2015,2.06,0.4261038257784594
Dania,2016,0.6200000000000001,0.5884935111342888
Dania,2017,0.43,0.8313308944754979
Dania,2018,2.15,0.9679617887015508
Dania,2019,4.12,1.005226195971652
Dania,2020,16.41,7.57448376360233
Dania,2021,35.22,17.834870481981234
Dania,2022,38.52,49.79526333657998
Dania,2023,45.88,35.77864601089505
Dania,2024,55.81,56.953936707700024
Dania,2025,71.07000000000001,92.56859410475742
Estonia,2009,0.0,0.02466906330832162
Estonia,2010,0.0,0.028017254447218753
Estonia,2011,0.33,0.04274293839761003
Estonia,2012,2.64,0.0545843023337927
Estonia,2013,0.62,0.07790200589598029
Estonia,2014,1.59,0.09890981006940099
Estonia,2015,0.25,0.12045996849372013
Estonia,2016,0.24,0.14420224409590734
Estonia,2017,0.2,0.1946529665684701
Estonia,2018,0.53,0.27320916998495354
Estonia,2019,0.37,0.3648421410569616
Estonia,2020,2.28,1.9765669910287216
Estonia,2021,2.98,3.746381218037355
Estonia,2022,5.27,6.423487977132873
Estonia,2023,8.74,7.099597215717241
Estonia,2024,10.19,9.396547492971665
Estonia,2025,17.4,52.122492054520485
Finlandia,2009,0.0,0.2063679417393095
Finlandia,2010,0.01,0.23740397854266457
